2020-09-02 at 00:00:58 | SUCCESS | 消息内容:{'start_time': '1598976041', 'collection_name': 'sy_news_finance_cyzone_raw', 'spider_name': 'caijing_cyzone_zuixin', 'end_time': '1598976041'}  消息处理总量:1条
2020-09-02 at 04:24:29 | SUCCESS | 消息内容:{'end_time': '1598991873', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_stock_all', 'start_time': '1598991873'}  消息处理总量:1条
2020-09-02 at 04:29:56 | SUCCESS | 消息内容:{'start_time': '1598992198', 'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican', 'end_time': '1598992198'}  消息处理总量:1条
2020-09-02 at 04:31:51 | SUCCESS | 消息内容:{'end_time': '1598992310', 'collection_name': 'sy_news_finance_eastday_raw', 'spider_name': 'caijing_eastday_caijing', 'start_time': '1598992303'}  消息处理总量:3条
2020-09-02 at 04:43:51 | SUCCESS | 消息内容:{'end_time': '1598993052', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_chanjing', 'start_time': '1598993052'}  消息处理总量:1条
2020-09-02 at 04:49:04 | SUCCESS | 消息内容:{'start_time': '1598993341', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1598993347'}  消息处理总量:10条
2020-09-02 at 04:54:59 | SUCCESS | 消息内容:{'end_time': '1598993723', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_guonei', 'start_time': '1598993723'}  消息处理总量:1条
2020-09-02 at 04:57:55 | SUCCESS | 消息内容:{'start_time': '1598993829', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1598993848'}  消息处理总量:27条
2020-09-02 at 05:02:51 | SUCCESS | 消息内容:{'start_time': '1598994189', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_cgnjj', 'end_time': '1598994190'}  消息处理总量:4条
2020-09-02 at 05:05:30 | SUCCESS | 消息内容:{'start_time': '1598994319', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1598994329'}  消息处理总量:17条
2020-09-02 at 05:10:24 | SUCCESS | 消息内容:{'end_time': '1598994629', 'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all', 'start_time': '1598994616'}  消息处理总量:3条
2020-09-02 at 05:11:21 | SUCCESS | 消息内容:{'end_time': '1598994702', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_guonei', 'start_time': '1598994702'}  消息处理总量:1条
2020-09-02 at 05:15:46 | SUCCESS | 消息内容:{'end_time': '1598994964', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_hk_all', 'start_time': '1598994964'}  消息处理总量:1条
2020-09-02 at 05:20:46 | SUCCESS | 消息内容:{'end_time': '1598995244', 'collection_name': 'sy_news_finance_eastday_raw', 'spider_name': 'caijing_eastday_caijing', 'start_time': '1598995244'}  消息处理总量:1条
2020-09-02 at 05:25:35 | SUCCESS | 消息内容:{'end_time': '1598995547', 'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all', 'start_time': '1598995514'}  消息处理总量:3条
2020-09-02 at 05:27:22 | SUCCESS | 消息内容:{'end_time': '1598995627', 'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican', 'start_time': '1598995627'}  消息处理总量:2条
2020-09-02 at 05:28:50 | SUCCESS | 消息内容:{'end_time': '1598995741', 'collection_name': 'sy_news_finance_qianlong_raw', 'spider_name': 'caijing_qianlong_jingji', 'start_time': '1598995735'}  消息处理总量:5条
2020-09-02 at 05:31:29 | SUCCESS | 消息内容:{'end_time': '1598995887', 'collection_name': 'sy_news_finance_10jqka_raw', 'spider_name': 'caijing_10jqka_hyyj', 'start_time': '1598995887'}  消息处理总量:0条
2020-09-02 at 05:37:14 | SUCCESS | 消息内容:{'end_time': '1598996244', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_whdd', 'start_time': '1598996244'}  消息处理总量:1条
2020-09-02 at 05:38:00 | SUCCESS | 消息内容:{'end_time': '1598996273', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_stock_all', 'start_time': '1598996257'}  消息处理总量:6条
2020-09-02 at 05:40:24 | SUCCESS | 消息内容:{'end_time': '1598996434', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_gsxw', 'start_time': '1598996434'}  消息处理总量:1条
2020-09-02 at 05:44:53 | SUCCESS | 消息内容:{'start_time': '1598996715', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_caijing', 'end_time': '1598996715'}  消息处理总量:1条
2020-09-02 at 05:49:29 | SUCCESS | 消息内容:{'end_time': '1598996959', 'collection_name': 'sy_news_finance_qianlong_raw', 'spider_name': 'caijing_qianlong_jingji', 'start_time': '1598996959'}  消息处理总量:1条
2020-09-02 at 05:51:48 | SUCCESS | 消息内容:{'end_time': '1598997103', 'collection_name': 'sy_news_finance_10jqka_raw', 'spider_name': 'caijing_10jqka_hyyj', 'start_time': '1598997103'}  消息处理总量:0条
2020-09-02 at 05:54:11 | SUCCESS | 消息内容:{'start_time': '1598997248', 'collection_name': 'sy_news_finance_qq_raw', 'spider_name': 'caijing_qq_zhaiquan', 'end_time': '1598997248'}  消息处理总量:1条
2020-09-02 at 05:58:39 | SUCCESS | 消息内容:{'end_time': '1598997528', 'collection_name': 'sy_news_finance_10jqka_raw', 'spider_name': 'caijing_10jqka_cjyw', 'start_time': '1598997523'}  消息处理总量:4条
2020-09-02 at 06:01:15 | SUCCESS | 消息内容:{'start_time': '1598997695', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_caijing', 'end_time': '1598997695'}  消息处理总量:1条
2020-09-02 at 06:02:32 | SUCCESS | 消息内容:{'start_time': '1598997748', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1598997754'}  消息处理总量:12条
2020-09-02 at 06:07:54 | SUCCESS | 消息内容:{'end_time': '1598998088', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_gsxw', 'start_time': '1598998082'}  消息处理总量:2条
2020-09-02 at 06:09:33 | SUCCESS | 消息内容:{'end_time': '1598998074', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_jigou_all', 'start_time': '1598998074'}  消息处理总量:1条
2020-09-02 at 06:11:08 | SUCCESS | 消息内容:{'start_time': '1598998248', 'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all', 'end_time': '1598998257'}  消息处理总量:2条
2020-09-02 at 06:15:33 | SUCCESS | 消息内容:{'end_time': '1598998574', 'collection_name': 'sy_news_hangye_mining120_raw', 'spider_name': 'hangye_mining120_guonei', 'start_time': '1598998572'}  消息处理总量:4条
2020-09-02 at 06:18:10 | SUCCESS | 消息内容:{'start_time': '1598998675', 'collection_name': 'sy_news_finance_eastday_raw', 'spider_name': 'caijing_eastday_caijing', 'end_time': '1598998676'}  消息处理总量:2条
2020-09-02 at 06:22:04 | SUCCESS | 消息内容:{'start_time': '1598998938', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_chanjing', 'end_time': '1598998938'}  消息处理总量:1条
2020-09-02 at 06:26:57 | SUCCESS | 消息内容:{'start_time': '1598999219', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1598999222'}  消息处理总量:6条
2020-09-02 at 06:30:24 | SUCCESS | 消息内容:{'end_time': '1598999444', 'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_hongguan', 'start_time': '1598999443'}  消息处理总量:3条
2020-09-02 at 06:35:10 | SUCCESS | 消息内容:{'start_time': '1598999708', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1598999714'}  消息处理总量:10条
2020-09-02 at 06:38:15 | SUCCESS | 消息内容:{'start_time': '1598999915', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_hk_all', 'end_time': '1598999915'}  消息处理总量:2条
2020-09-02 at 06:41:38 | SUCCESS | 消息内容:{'start_time': '1599000067', 'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all', 'end_time': '1599000098'}  消息处理总量:3条
2020-09-02 at 06:42:45 | SUCCESS | 消息内容:{'end_time': '1599000169', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_caijing', 'start_time': '1599000146'}  消息处理总量:9条
2020-09-02 at 06:44:33 | SUCCESS | 消息内容:{'start_time': '1599000285', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_gsxw', 'end_time': '1599000285'}  消息处理总量:1条
2020-09-02 at 06:46:06 | SUCCESS | 消息内容:{'end_time': '1599000354', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_xinsanban_all', 'start_time': '1599000290'}  消息处理总量:4条
2020-09-02 at 06:47:27 | SUCCESS | 消息内容:{'end_time': '1599000465', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_hk_all', 'start_time': '1599000464'}  消息处理总量:2条
2020-09-02 at 06:49:40 | SUCCESS | 消息内容:{'end_time': '1599000605', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_ss', 'start_time': '1599000605'}  消息处理总量:0条
2020-09-02 at 06:50:35 | SUCCESS | 消息内容:{'start_time': '1599000634', 'collection_name': 'sy_news_finance_eastday_raw', 'spider_name': 'caijing_eastday_caijing', 'end_time': '1599000634'}  消息处理总量:1条
2020-09-02 at 06:51:32 | SUCCESS | 消息内容:{'start_time': '1599000688', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1599000694'}  消息处理总量:10条
2020-09-02 at 06:52:24 | SUCCESS | 消息内容:{'end_time': '1599000765', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_ssgs', 'start_time': '1599000764'}  消息处理总量:2条
2020-09-02 at 06:53:58 | SUCCESS | 消息内容:{'end_time': '1599000842', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_gsxw', 'start_time': '1599000833'}  消息处理总量:6条
2020-09-02 at 06:56:38 | SUCCESS | 消息内容:{'end_time': '1599000998', 'collection_name': 'sy_news_finance_21jingji_raw', 'spider_name': 'caijing_21jingji_business', 'start_time': '1599000994'}  消息处理总量:8条
2020-09-02 at 06:56:52 | SUCCESS | 消息内容:{'end_time': '1599001000', 'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all', 'start_time': '1599000972'}  消息处理总量:3条
2020-09-02 at 06:57:35 | SUCCESS | 消息内容:{'start_time': '1599001073', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_guonei', 'end_time': '1599001073'}  消息处理总量:2条
2020-09-02 at 06:59:48 | SUCCESS | 消息内容:{'start_time': '1599001178', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1599001186'}  消息处理总量:14条
2020-09-02 at 07:01:13 | SUCCESS | 消息内容:{'end_time': '1599001211', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_stock_all', 'start_time': '1599001211'}  消息处理总量:1条
2020-09-02 at 07:02:51 | SUCCESS | 消息内容:{'end_time': '1599001384', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_chanjing', 'start_time': '1599001383'}  消息处理总量:3条
2020-09-02 at 07:03:15 | SUCCESS | 消息内容:{'start_time': '1599001403', 'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_hongguan', 'end_time': '1599001405'}  消息处理总量:3条
2020-09-02 at 07:05:06 | SUCCESS | 消息内容:{'start_time': '1599001087', 'collection_name': 'sy_news_finance_cqnews_raw', 'spider_name': 'caijing_cqnews_finance_all', 'end_time': '1599001262'}  消息处理总量:3条
2020-09-02 at 07:05:47 | SUCCESS | 消息内容:{'end_time': '1599001563', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_guonei', 'start_time': '1599001562'}  消息处理总量:3条
2020-09-02 at 07:07:48 | SUCCESS | 消息内容:{'end_time': '1599001676', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'start_time': '1599001668'}  消息处理总量:6条
2020-09-02 at 07:08:36 | SUCCESS | 消息内容:{'start_time': '1599001716', 'collection_name': 'sy_news_finance_cs_raw', 'spider_name': 'caijing_cs_cjyw', 'end_time': '1599001718'}  消息处理总量:3条
2020-09-02 at 07:09:21 | SUCCESS | 消息内容:{'start_time': '1599001782', 'collection_name': 'sy_news_finance_china_raw', 'spider_name': 'caijing_china_hg', 'end_time': '1599001782'}  消息处理总量:1条
2020-09-02 at 07:09:51 | SUCCESS | 消息内容:{'end_time': '1599001808', 'collection_name': 'sy_news_finance_10jqka_raw', 'spider_name': 'caijing_10jqka_cjyw', 'start_time': '1599001794'}  消息处理总量:1条
2020-09-02 at 07:11:15 | SUCCESS | 消息内容:{'end_time': '1599001894', 'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_hongguan', 'start_time': '1599001894'}  消息处理总量:1条
2020-09-02 at 07:12:53 | SUCCESS | 消息内容:{'start_time': '1599001995', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_gncj', 'end_time': '1599001995'}  消息处理总量:1条
2020-09-02 at 07:13:43 | SUCCESS | 消息内容:{'end_time': '1599002033', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_cgnjj', 'start_time': '1599002028'}  消息处理总量:7条
2020-09-02 at 07:14:25 | SUCCESS | 消息内容:{'start_time': '1599002086', 'collection_name': 'sy_news_finance_cs_raw', 'spider_name': 'caijing_cs_gongsi', 'end_time': '1599002086'}  消息处理总量:1条
2020-09-02 at 07:16:22 | SUCCESS | 消息内容:{'end_time': '1599002204', 'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_gsyw', 'start_time': '1599002204'}  消息处理总量:1条
2020-09-02 at 07:17:52 | SUCCESS | 消息内容:{'end_time': '1599002230', 'collection_name': 'sy_news_finance_sina_blog_raw', 'spider_name': 'caijing_sina_blog', 'start_time': '1599002230'}  消息处理总量:1条
2020-09-02 at 07:18:59 | SUCCESS | 消息内容:{'start_time': '1599002315', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_stock_all', 'end_time': '1599002316'}  消息处理总量:4条
2020-09-02 at 07:20:26 | SUCCESS | 消息内容:{'end_time': '1599002447', 'collection_name': 'sy_news_finance_cs_raw', 'spider_name': 'caijing_cs_jijin', 'start_time': '1599002447'}  消息处理总量:1条
2020-09-02 at 07:21:31 | SUCCESS | 消息内容:{'start_time': '1599002523', 'collection_name': 'sy_news_hangye_smm_raw', 'spider_name': 'hangye_smm_news', 'end_time': '1599002523'}  消息处理总量:1条
2020-09-02 at 07:22:02 | SUCCESS | 消息内容:{'end_time': '1599002488', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_gsxw', 'start_time': '1599002483'}  消息处理总量:3条
2020-09-02 at 07:22:39 | SUCCESS | 消息内容:{'end_time': '1599002545', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_guonei', 'start_time': '1599002543'}  消息处理总量:5条
2020-09-02 at 07:23:42 | SUCCESS | 消息内容:{'end_time': '1599002646', 'collection_name': 'sy_news_finance_cs_raw', 'spider_name': 'caijing_cs_xsb', 'start_time': '1599002646'}  消息处理总量:1条
2020-09-02 at 07:24:51 | SUCCESS | 消息内容:{'end_time': '1599002705', 'collection_name': 'sy_news_finance_cs_raw', 'spider_name': 'caijing_cs_gongsi', 'start_time': '1599002705'}  消息处理总量:1条
2020-09-02 at 07:25:22 | SUCCESS | 消息内容:{'start_time': '1599002695', 'collection_name': 'sy_news_finance_cs_raw', 'spider_name': 'caijing_cs_cjyw', 'end_time': '1599002697'}  消息处理总量:3条
2020-09-02 at 07:26:27 | SUCCESS | 消息内容:{'end_time': '1599002745', 'collection_name': 'sy_news_finance_smm_raw', 'spider_name': 'caijing_smm_yaowen', 'start_time': '1599002743'}  消息处理总量:2条
2020-09-02 at 07:26:56 | SUCCESS | 消息内容:{'end_time': '1599002822', 'collection_name': 'sy_news_finance_cnstock_raw', 'spider_name': 'caijing_cnstock_cyjj', 'start_time': '1599002822'}  消息处理总量:1条
2020-09-02 at 07:27:43 | SUCCESS | 消息内容:{'end_time': '1599002878', 'collection_name': 'sy_news_finance_cs_raw', 'spider_name': 'caijing_cs_jigou', 'start_time': '1599002877'}  消息处理总量:3条
2020-09-02 at 07:28:56 | SUCCESS | 消息内容:{'start_time': '1599002953', 'collection_name': 'sy_news_finance_chinadaily_raw', 'spider_name': 'caijing_chinadaily_jrgd', 'end_time': '1599002954'}  消息处理总量:2条
2020-09-02 at 07:30:03 | SUCCESS | 消息内容:{'start_time': '1599003023', 'collection_name': 'sy_news_finance_10jqka_raw', 'spider_name': 'caijing_10jqka_cjyw', 'end_time': '1599003023'}  消息处理总量:0条
2020-09-02 at 07:30:37 | SUCCESS | 消息内容:{'start_time': '1599003057', 'collection_name': 'sy_news_finance_cs_raw', 'spider_name': 'caijing_cs_jijin', 'end_time': '1599003059'}  消息处理总量:2条
2020-09-02 at 07:32:02 | SUCCESS | 消息内容:{'start_time': '1599003138', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1599003141'}  消息处理总量:6条
2020-09-02 at 07:33:30 | SUCCESS | 消息内容:{'start_time': '1599003192', 'collection_name': 'sy_news_finance_10jqka_raw', 'spider_name': 'caijing_10jqka_hyyj', 'end_time': '1599003192'}  消息处理总量:1条
2020-09-02 at 07:34:30 | SUCCESS | 消息内容:{'end_time': '1599003236', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_zsscdt', 'start_time': '1599003235'}  消息处理总量:2条
