2020-08-28 at 00:01:42 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_qq_raw', 'end_time': '1598544124', 'spider_name': 'caijing_qq_hongguan', 'start_time': '1598544122'}  消息处理总量:3条
2020-08-28 at 00:37:52 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_leju_raw', 'end_time': '1598546275', 'spider_name': 'caijing_leju_lejucaijing_all', 'start_time': '1598546275'}  消息处理总量:1条
2020-08-28 at 00:40:13 | SUCCESS | 消息内容:{'start_time': '1598546376', 'collection_name': 'sy_news_finance_guandian_raw', 'end_time': '1598546378', 'spider_name': 'caijing_guandian_news_all'}  消息处理总量:2条
2020-08-28 at 00:42:38 | SUCCESS | 消息内容:{'end_time': '1598546551', 'collection_name': 'sy_news_finance_36kr_raw', 'spider_name': 'caijing_36kr_zixun', 'start_time': '1598546551'}  消息处理总量:1条
2020-08-28 at 00:45:16 | SUCCESS | 消息内容:{'end_time': '1598546733', 'collection_name': 'sy_news_finance_cnstock_raw', 'spider_name': 'caijing_cnstock_ssgs', 'start_time': '1598546733'}  消息处理总量:1条
2020-08-28 at 00:47:21 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_leju_raw', 'end_time': '1598546803', 'spider_name': 'caijing_leju_lejucaijing_all', 'start_time': '1598546803'}  消息处理总量:1条
2020-08-28 at 00:49:56 | SUCCESS | 消息内容:{'end_time': '1598546999', 'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_gsyw', 'start_time': '1598546993'}  消息处理总量:9条
2020-08-28 at 03:47:50 | SUCCESS | 消息内容:{'start_time': '1598551436', 'end_time': '1598551472', 'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all'}  消息处理总量:3条
2020-08-28 at 03:47:53 | SUCCESS | 消息内容:{'start_time': '1598551974', 'collection_name': 'sy_news_finance_10jqka_raw', 'end_time': '1598551974', 'spider_name': 'caijing_10jqka_zqzx'}  消息处理总量:0条
2020-08-28 at 03:48:01 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_10jqka_raw', 'end_time': '1598552224', 'spider_name': 'caijing_10jqka_cjyw', 'start_time': '1598552224'}  消息处理总量:1条
2020-08-28 at 03:48:40 | SUCCESS | 消息内容:{'end_time': '1598552389', 'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_gsyw', 'start_time': '1598552383'}  消息处理总量:5条
2020-08-28 at 03:48:55 | SUCCESS | 消息内容:{'start_time': '1598552544', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1598552544', 'spider_name': 'caijing_sina_chanjing'}  消息处理总量:2条
2020-08-28 at 03:49:06 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598552779', 'spider_name': 'caijing_eastmoney_caijing', 'start_time': '1598552779'}  消息处理总量:1条
2020-08-28 at 03:49:19 | SUCCESS | 消息内容:{'start_time': '1598552827', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598552828', 'spider_name': 'caijing_eastmoney_ccjxw'}  消息处理总量:2条
2020-08-28 at 03:49:52 | SUCCESS | 消息内容:{'start_time': '1598553191', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598553194', 'spider_name': 'caijing_eastmoney_cgnjj'}  消息处理总量:6条
2020-08-28 at 03:50:06 | SUCCESS | 消息内容:{'start_time': '1598553683', 'end_time': '1598553687', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_gsxw'}  消息处理总量:4条
2020-08-28 at 03:50:09 | SUCCESS | 消息内容:{'start_time': '1598553759', 'collection_name': 'sy_news_finance_eastday_raw', 'end_time': '1598553759', 'spider_name': 'caijing_eastday_caijing'}  消息处理总量:1条
2020-08-28 at 03:50:17 | SUCCESS | 消息内容:{'end_time': '1598553857', 'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_gsyw', 'start_time': '1598553855'}  消息处理总量:4条
2020-08-28 at 03:50:49 | SUCCESS | 消息内容:{'start_time': '1598553956', 'end_time': '1598553965', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_chanjing'}  消息处理总量:7条
2020-08-28 at 03:51:17 | SUCCESS | 消息内容:{'start_time': '1598554297', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598554301', 'spider_name': 'caijing_eastmoney_ccjxw'}  消息处理总量:6条
2020-08-28 at 03:51:41 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598554661', 'spider_name': 'caijing_eastmoney_cgnjj', 'start_time': '1598554658'}  消息处理总量:6条
2020-08-28 at 03:52:09 | SUCCESS | 消息内容:{'start_time': '1598554783', 'end_time': '1598554789', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_gsxw'}  消息处理总量:9条
2020-08-28 at 03:52:15 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598555205', 'spider_name': 'caijing_eastmoney_jigou_all', 'start_time': '1598555205'}  消息处理总量:1条
2020-08-28 at 03:52:28 | SUCCESS | 消息内容:{'end_time': '1598555347', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_gsxw', 'start_time': '1598555334'}  消息处理总量:5条
2020-08-28 at 03:52:36 | SUCCESS | 消息内容:{'start_time': '1598555715', 'end_time': '1598555718', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_caijing'}  消息处理总量:2条
2020-08-28 at 03:53:23 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598555891', 'spider_name': 'caijing_eastmoney_gsxw', 'start_time': '1598555884'}  消息处理总量:10条
2020-08-28 at 03:53:37 | SUCCESS | 消息内容:{'start_time': '1598556261', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598556264', 'spider_name': 'caijing_eastmoney_stock_all'}  消息处理总量:4条
2020-08-28 at 03:54:00 | SUCCESS | 消息内容:{'start_time': '1598556433', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598556439', 'spider_name': 'caijing_eastmoney_gsxw'}  消息处理总量:7条
2020-08-28 at 03:54:05 | SUCCESS | 消息内容:{'start_time': '1598556722', 'end_time': '1598556722', 'collection_name': 'sy_news_finance_eastday_raw', 'spider_name': 'caijing_eastday_caijing'}  消息处理总量:1条
2020-08-28 at 03:54:14 | SUCCESS | 消息内容:{'start_time': '1598556909', 'end_time': '1598556934', 'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all'}  消息处理总量:3条
2020-08-28 at 03:54:29 | SUCCESS | 消息内容:{'start_time': '1598557168', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598557186', 'spider_name': 'caijing_eastmoney_hk_all'}  消息处理总量:6条
2020-08-28 at 03:54:35 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1598557287', 'spider_name': 'caijing_hexun_gsyw', 'start_time': '1598557286'}  消息处理总量:2条
2020-08-28 at 03:54:38 | SUCCESS | 消息内容:{'start_time': '1598557673', 'collection_name': 'sy_news_finance_eastday_raw', 'end_time': '1598557673', 'spider_name': 'caijing_eastday_caijing'}  消息处理总量:1条
2020-08-28 at 03:54:56 | SUCCESS | 消息内容:{'start_time': '1598557717', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598557740', 'spider_name': 'caijing_eastmoney_hk_all'}  消息处理总量:7条
2020-08-28 at 03:55:03 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_mysteel_raw', 'end_time': '1598557806', 'spider_name': 'caijing_mysteel_zonghe_all', 'start_time': '1598557805'}  消息处理总量:2条
2020-08-28 at 04:01:15 | SUCCESS | 消息内容:{'start_time': '1598558472', 'end_time': '1598558477', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_stock_all'}  消息处理总量:2条
2020-08-28 at 04:03:59 | SUCCESS | 消息内容:{'start_time': '1598558654', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598558655', 'spider_name': 'caijing_eastmoney_caijing'}  消息处理总量:2条
2020-08-28 at 04:05:57 | SUCCESS | 消息内容:{'start_time': '1598558705', 'end_time': '1598558744', 'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all'}  消息处理总量:3条
2020-08-28 at 04:10:57 | SUCCESS | 消息内容:{'start_time': '1598559069', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598559070', 'spider_name': 'caijing_eastmoney_cgnjj'}  消息处理总量:4条
2020-08-28 at 04:13:21 | SUCCESS | 消息内容:{'start_time': '1598559198', 'end_time': '1598559201', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw'}  消息处理总量:6条
2020-08-28 at 04:18:48 | SUCCESS | 消息内容:{'start_time': '1598559531', 'end_time': '1598559533', 'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican'}  消息处理总量:2条
2020-08-28 at 04:20:46 | SUCCESS | 消息内容:{'start_time': '1598559644', 'collection_name': 'sy_news_finance_mysteel_raw', 'end_time': '1598559654', 'spider_name': 'caijing_mysteel_zonghe_all'}  消息处理总量:2条
2020-08-28 at 04:22:11 | SUCCESS | 消息内容:{'start_time': '1598559736', 'end_time': '1598559736', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_gsxw'}  消息处理总量:1条
2020-08-28 at 04:25:00 | SUCCESS | 消息内容:{'end_time': '1598559917', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_hk_all', 'start_time': '1598559916'}  消息处理总量:3条
2020-08-28 at 04:28:33 | SUCCESS | 消息内容:{'start_time': '1598560129', 'end_time': '1598560129', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_stock_all'}  消息处理总量:4条
2020-08-28 at 04:29:35 | SUCCESS | 消息内容:{'start_time': '1598560163', 'collection_name': 'sy_news_finance_10jqka_raw', 'end_time': '1598560163', 'spider_name': 'caijing_10jqka_cjyw'}  消息处理总量:0条
2020-08-28 at 04:35:22 | SUCCESS | 消息内容:{'start_time': '1598560503', 'end_time': '1598560503', 'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican'}  消息处理总量:1条
2020-08-28 at 04:36:00 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1598560585', 'spider_name': 'caijing_jrj_ss', 'start_time': '1598560584'}  消息处理总量:0条
2020-08-28 at 04:38:27 | SUCCESS | 消息内容:{'start_time': '1598560715', 'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1598560717', 'spider_name': 'caijing_hexun_gsyw'}  消息处理总量:4条
2020-08-28 at 04:43:20 | SUCCESS | 消息内容:{'start_time': '1598560996', 'collection_name': 'sy_news_finance_yuncaijing_raw', 'end_time': '1598560997', 'spider_name': 'caijing_yuncaijing_neican'}  消息处理总量:2条
2020-08-28 at 04:47:06 | SUCCESS | 消息内容:{'start_time': '1598561222', 'end_time': '1598561222', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_stock_all'}  消息处理总量:1条
2020-08-28 at 04:52:09 | SUCCESS | 消息内容:{'start_time': '1598561436', 'end_time': '1598561464', 'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all'}  消息处理总量:3条
2020-08-28 at 05:01:42 | SUCCESS | 消息内容:{'start_time': '1598561985', 'collection_name': 'sy_news_finance_10jqka_raw', 'end_time': '1598561985', 'spider_name': 'caijing_10jqka_cjyw'}  消息处理总量:1条
2020-08-28 at 05:06:17 | SUCCESS | 消息内容:{'start_time': '1598562378', 'collection_name': 'sy_news_finance_mysteel_raw', 'end_time': '1598562394', 'spider_name': 'caijing_mysteel_zonghe_all'}  消息处理总量:3条
2020-08-28 at 05:20:44 | SUCCESS | 消息内容:{'end_time': '1598563266', 'collection_name': 'sy_news_finance_sohu_raw', 'spider_name': 'caijing_sohu_xsb', 'start_time': '1598563266'}  消息处理总量:1条
2020-08-28 at 05:24:50 | SUCCESS | 消息内容:{'end_time': '1598563507', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_guonei', 'start_time': '1598563507'}  消息处理总量:1条
2020-08-28 at 05:30:08 | SUCCESS | 消息内容:{'start_time': '1598563764', 'end_time': '1598563764', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_hk_all'}  消息处理总量:2条
2020-08-28 at 05:32:52 | SUCCESS | 消息内容:{'start_time': '1598563969', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598563974', 'spider_name': 'caijing_eastmoney_cgnjj'}  消息处理总量:10条
2020-08-28 at 05:35:27 | SUCCESS | 消息内容:{'start_time': '1598564133', 'end_time': '1598564133', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_gsxw'}  消息处理总量:1条
2020-08-28 at 05:40:21 | SUCCESS | 消息内容:{'start_time': '1598564426', 'collection_name': 'sy_news_finance_yuncaijing_raw', 'end_time': '1598564426', 'spider_name': 'caijing_yuncaijing_neican'}  消息处理总量:1条
2020-08-28 at 05:40:50 | SUCCESS | 消息内容:{'start_time': '1598564453', 'collection_name': 'sy_news_finance_cnlist_raw', 'end_time': '1598564458', 'spider_name': 'caijing_cnlist_cjxw'}  消息处理总量:3条
2020-08-28 at 05:46:56 | SUCCESS | 消息内容:{'start_time': '1598564814', 'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1598564814', 'spider_name': 'caijing_hexun_hongguan'}  消息处理总量:2条
2020-08-28 at 05:48:31 | SUCCESS | 消息内容:{'start_time': '1598564921', 'end_time': '1598564921', 'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican'}  消息处理总量:1条
2020-08-28 at 05:52:01 | SUCCESS | 消息内容:{'start_time': '1598565080', 'end_time': '1598565115', 'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all'}  消息处理总量:3条
2020-08-28 at 05:56:50 | SUCCESS | 消息内容:{'start_time': '1598565414', 'end_time': '1598565420', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_hk_all'}  消息处理总量:3条
2020-08-28 at 06:03:37 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1598565834', 'spider_name': 'caijing_hexun_kcb', 'start_time': '1598565833'}  消息处理总量:3条
2020-08-28 at 06:05:44 | SUCCESS | 消息内容:{'start_time': '1598565965', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598565966', 'spider_name': 'caijing_eastmoney_hk_all'}  消息处理总量:2条
2020-08-28 at 06:10:21 | SUCCESS | 消息内容:{'end_time': '1598566169', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_stock_all', 'start_time': '1598566161'}  消息处理总量:2条
2020-08-28 at 06:12:04 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598566334', 'spider_name': 'caijing_eastmoney_gsxw', 'start_time': '1598566333'}  消息处理总量:2条
2020-08-28 at 06:19:12 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598566713', 'spider_name': 'caijing_eastmoney_stock_all', 'start_time': '1598566711'}  消息处理总量:2条
2020-08-28 at 06:21:43 | SUCCESS | 消息内容:{'start_time': '1598566876', 'end_time': '1598566882', 'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican'}  消息处理总量:8条
2020-08-28 at 06:23:26 | SUCCESS | 消息内容:{'start_time': '1598566985', 'collection_name': 'sy_news_finance_eastday_raw', 'end_time': '1598566985', 'spider_name': 'caijing_eastday_caijing'}  消息处理总量:1条
2020-08-28 at 06:29:07 | SUCCESS | 消息内容:{'start_time': '1598567264', 'end_time': '1598567269', 'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_hongguan'}  消息处理总量:2条
2020-08-28 at 06:29:45 | SUCCESS | 消息内容:{'end_time': '1598567401', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_cgnjj', 'start_time': '1598567398'}  消息处理总量:6条
2020-08-28 at 06:31:34 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_10jqka_raw', 'end_time': '1598567475', 'spider_name': 'caijing_10jqka_cjyw', 'start_time': '1598567475'}  消息处理总量:1条
2020-08-28 at 06:32:52 | SUCCESS | 消息内容:{'start_time': '1598567574', 'end_time': '1598567574', 'collection_name': 'sy_news_finance_cs_raw', 'spider_name': 'caijing_cs_cjyw'}  消息处理总量:1条
2020-08-28 at 06:37:17 | SUCCESS | 消息内容:{'start_time': '1598567805', 'end_time': '1598567850', 'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all'}  消息处理总量:2条
2020-08-28 at 06:37:57 | SUCCESS | 消息内容:{'start_time': '1598567888', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598567891', 'spider_name': 'caijing_eastmoney_cgnjj'}  消息处理总量:6条
2020-08-28 at 06:39:40 | SUCCESS | 消息内容:{'start_time': '1598567982', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598567987', 'spider_name': 'caijing_eastmoney_gsxw'}  消息处理总量:5条
2020-08-28 at 06:41:07 | SUCCESS | 消息内容:{'start_time': '1598568066', 'collection_name': 'sy_news_finance_cs_raw', 'end_time': '1598568066', 'spider_name': 'caijing_cs_cjyw'}  消息处理总量:2条
2020-08-28 at 06:42:27 | SUCCESS | 消息内容:{'start_time': '1598568113', 'collection_name': 'sy_news_finance_smm_raw', 'end_time': '1598568120', 'spider_name': 'caijing_smm_yaowen'}  消息处理总量:2条
2020-08-28 at 06:46:04 | SUCCESS | 消息内容:{'start_time': '1598568366', 'end_time': '1598568377', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_stock_all'}  消息处理总量:3条
2020-08-28 at 06:47:37 | SUCCESS | 消息内容:{'end_time': '1598568446', 'collection_name': 'sy_news_finance_10jqka_raw', 'spider_name': 'caijing_10jqka_zqzx', 'start_time': '1598568446'}  消息处理总量:1条
2020-08-28 at 06:49:17 | SUCCESS | 消息内容:{'start_time': '1598568554', 'collection_name': 'sy_news_finance_cs_raw', 'end_time': '1598568559', 'spider_name': 'caijing_cs_cjyw'}  消息处理总量:3条
2020-08-28 at 06:51:54 | SUCCESS | 消息内容:{'start_time': '1598568695', 'collection_name': 'sy_news_finance_10jqka_raw', 'end_time': '1598568695', 'spider_name': 'caijing_10jqka_cjyw'}  消息处理总量:1条
2020-08-28 at 06:53:42 | SUCCESS | 消息内容:{'start_time': '1598568775', 'collection_name': 'sy_news_finance_leju_raw', 'end_time': '1598568794', 'spider_name': 'caijing_leju_lejucaijing_all'}  消息处理总量:2条
2020-08-28 at 06:55:50 | SUCCESS | 消息内容:{'start_time': '1598568966', 'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1598568973', 'spider_name': 'caijing_jrj_xsb'}  消息处理总量:0条
2020-08-28 at 07:00:43 | SUCCESS | 消息内容:{'start_time': '1598569044', 'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1598569050', 'spider_name': 'caijing_hexun_gsyw'}  消息处理总量:9条
2020-08-28 at 07:02:16 | SUCCESS | 消息内容:{'start_time': '1598569347', 'collection_name': 'sy_news_finance_cs_raw', 'end_time': '1598569348', 'spider_name': 'caijing_cs_jijin'}  消息处理总量:2条
2020-08-28 at 07:02:47 | SUCCESS | 消息内容:{'start_time': '1598569382', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1598569382', 'spider_name': 'caijing_sina_guonei'}  消息处理总量:2条
2020-08-28 at 07:13:53 | SUCCESS | 消息内容:{'start_time': '1598569402', 'collection_name': 'sy_news_finance_cnfol_raw', 'end_time': '1598569539', 'spider_name': 'caijing_cnfol_gegu'}  消息处理总量:220条
2020-08-28 at 07:20:13 | SUCCESS | 消息内容:{'start_time': '1598570304', 'end_time': '1598570317', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_gncj'}  消息处理总量:22条
2020-08-28 at 07:22:45 | SUCCESS | 消息内容:{'start_time': '1598570553', 'collection_name': 'sy_news_finance_mysteel_raw', 'end_time': '1598570576', 'spider_name': 'caijing_mysteel_zonghe_all'}  消息处理总量:3条
2020-08-28 at 07:23:08 | SUCCESS | 消息内容:{'start_time': '1598570555', 'collection_name': 'sy_news_finance_36kr_raw', 'end_time': '1598570556', 'spider_name': 'caijing_36kr_zixun'}  消息处理总量:2条
2020-08-28 at 07:26:01 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598570761', 'spider_name': 'caijing_eastmoney_gsxw', 'start_time': '1598570733'}  消息处理总量:6条
2020-08-28 at 07:26:46 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1598570746', 'spider_name': 'caijing_sina_zsscdt', 'start_time': '1598570744'}  消息处理总量:3条
2020-08-28 at 07:27:18 | SUCCESS | 消息内容:{'start_time': '1598570828', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598570832', 'spider_name': 'caijing_eastmoney_cgnjj'}  消息处理总量:7条
2020-08-28 at 07:29:03 | SUCCESS | 消息内容:{'end_time': '1598570959', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'start_time': '1598570959'}  消息处理总量:2条
2020-08-28 at 07:30:58 | SUCCESS | 消息内容:{'start_time': '1598571043', 'end_time': '1598571043', 'collection_name': 'sy_news_finance_36kr_raw', 'spider_name': 'caijing_36kr_zixun'}  消息处理总量:2条
2020-08-28 at 07:31:35 | SUCCESS | 消息内容:{'end_time': '1598571094', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_whdd', 'start_time': '1598571094'}  消息处理总量:1条
2020-08-28 at 07:33:07 | SUCCESS | 消息内容:{'end_time': '1598571166', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_chanjing', 'start_time': '1598571163'}  消息处理总量:7条
2020-08-28 at 07:33:37 | SUCCESS | 消息内容:{'start_time': '1598571252', 'collection_name': 'sy_news_hangye_smm_raw', 'end_time': '1598571252', 'spider_name': 'hangye_smm_news'}  消息处理总量:1条
2020-08-28 at 07:35:14 | SUCCESS | 消息内容:{'start_time': '1598571308', 'end_time': '1598571309', 'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican'}  消息处理总量:2条
2020-08-28 at 07:36:16 | SUCCESS | 消息内容:{'start_time': '1598571395', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598571396', 'spider_name': 'caijing_eastmoney_caijing'}  消息处理总量:2条
2020-08-28 at 07:37:24 | SUCCESS | 消息内容:{'start_time': '1598571457', 'collection_name': 'sy_news_finance_csrc_raw', 'end_time': '1598571457', 'spider_name': 'caijing_csrc_gwyxx'}  消息处理总量:1条
2020-08-28 at 07:38:55 | SUCCESS | 消息内容:{'end_time': '1598571536', 'collection_name': 'sy_news_finance_36kr_raw', 'spider_name': 'caijing_36kr_zixun', 'start_time': '1598571534'}  消息处理总量:2条
2020-08-28 at 07:39:22 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_china_raw', 'end_time': '1598571583', 'spider_name': 'caijing_china_jijin', 'start_time': '1598571583'}  消息处理总量:1条
2020-08-28 at 07:39:40 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cnfol_raw', 'end_time': '1598571594', 'spider_name': 'caijing_cnfol_gncj', 'start_time': '1598571593'}  消息处理总量:3条
2020-08-28 at 07:41:13 | SUCCESS | 消息内容:{'start_time': '1598571656', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598571656', 'spider_name': 'caijing_eastmoney_stock_all'}  消息处理总量:1条
2020-08-28 at 07:42:48 | SUCCESS | 消息内容:{'start_time': '1598571734', 'collection_name': 'sy_news_finance_china_raw', 'end_time': '1598571743', 'spider_name': 'caijing_china_hg'}  消息处理总量:15条
2020-08-28 at 07:43:06 | SUCCESS | 消息内容:{'start_time': '1598571778', 'collection_name': 'sy_news_finance_yuncaijing_raw', 'end_time': '1598571779', 'spider_name': 'caijing_yuncaijing_neican'}  消息处理总量:2条
