2020-09-02 at 00:01:20 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_gsxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598976094', 'start_time': '1598976083'}  消息处理总量:5条
2020-09-02 at 03:24:21 | SUCCESS | 消息内容:{'spider_name': 'caijing_mysteel_zonghe_all', 'collection_name': 'sy_news_finance_mysteel_raw', 'end_time': '1598988269', 'start_time': '1598988233'}  消息处理总量:3条
2020-09-02 at 03:37:30 | SUCCESS | 消息内容:{'spider_name': 'caijing_jrj_chanjing', 'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1598989075', 'start_time': '1598989075'}  消息处理总量:1条
2020-09-02 at 03:40:10 | SUCCESS | 消息内容:{'spider_name': 'caijing_nbd_fenxiang_all', 'collection_name': 'sy_news_finance_nbd_raw', 'end_time': '1598989233', 'start_time': '1598989233'}  消息处理总量:1条
2020-09-02 at 03:48:48 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_qqdd', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598989744', 'start_time': '1598989744'}  消息处理总量:1条
2020-09-02 at 03:50:53 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_gsxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598989832', 'start_time': '1598989832'}  消息处理总量:1条
2020-09-02 at 03:54:37 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all', 'end_time': '1598990092', 'start_time': '1598990050'}  消息处理总量:2条
2020-09-02 at 03:58:09 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_ss', 'end_time': '1598990316', 'start_time': '1598990315'}  消息处理总量:0条
2020-09-02 at 03:59:50 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_caijing', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598990352', 'start_time': '1598990348'}  消息处理总量:3条
2020-09-02 at 04:13:35 | SUCCESS | 消息内容:{'spider_name': 'caijing_yuncaijing_neican', 'collection_name': 'sy_news_finance_yuncaijing_raw', 'end_time': '1598991220', 'start_time': '1598991214'}  消息处理总量:5条
2020-09-02 at 04:17:07 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_10jqka_raw', 'spider_name': 'caijing_10jqka_cjyw', 'end_time': '1598991429', 'start_time': '1598991428'}  消息处理总量:3条
2020-09-02 at 04:24:53 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all', 'end_time': '1598991893', 'start_time': '1598991874'}  消息处理总量:3条
2020-09-02 at 04:30:31 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_guonei', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1598992252', 'start_time': '1598992252'}  消息处理总量:1条
2020-09-02 at 04:36:02 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_hongguan', 'end_time': '1598992584', 'start_time': '1598992584'}  消息处理总量:1条
2020-09-02 at 04:46:26 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_cgnjj', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598993209', 'start_time': '1598993209'}  消息处理总量:1条
2020-09-02 at 04:52:02 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_chanjing', 'end_time': '1598993544', 'start_time': '1598993544'}  消息处理总量:2条
2020-09-02 at 04:55:14 | SUCCESS | 消息内容:{'spider_name': 'caijing_mysteel_zonghe_all', 'collection_name': 'sy_news_finance_mysteel_raw', 'end_time': '1598993730', 'start_time': '1598993688'}  消息处理总量:3条
2020-09-02 at 05:00:15 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_chanjing', 'end_time': '1598994034', 'start_time': '1598994034'}  消息处理总量:1条
2020-09-02 at 05:04:11 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_caijing', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598994265', 'start_time': '1598994265'}  消息处理总量:1条
2020-09-02 at 05:07:49 | SUCCESS | 消息内容:{'spider_name': 'caijing_10jqka_cjyw', 'collection_name': 'sy_news_finance_10jqka_raw', 'end_time': '1598994483', 'start_time': '1598994483'}  消息处理总量:0条
2020-09-02 at 05:10:46 | SUCCESS | 消息内容:{'spider_name': 'caijing_yuncaijing_neican', 'collection_name': 'sy_news_finance_yuncaijing_raw', 'end_time': '1598994651', 'start_time': '1598994643'}  消息处理总量:4条
2020-09-02 at 05:12:53 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastday_caijing', 'collection_name': 'sy_news_finance_eastday_raw', 'end_time': '1598994754', 'start_time': '1598994754'}  消息处理总量:1条
2020-09-02 at 05:18:37 | SUCCESS | 消息内容:{'spider_name': 'caijing_jrj_gncj', 'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1598995136', 'start_time': '1598995135'}  消息处理总量:3条
2020-09-02 at 05:22:07 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_ccjxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598995305', 'start_time': '1598995297'}  消息处理总量:13条
2020-09-02 at 05:26:23 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_czggng', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598995605', 'start_time': '1598995605'}  消息处理总量:1条
2020-09-02 at 05:28:11 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_10jqka_raw', 'spider_name': 'caijing_10jqka_cjyw', 'end_time': '1598995695', 'start_time': '1598995695'}  消息处理总量:1条
2020-09-02 at 05:30:03 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1598995793', 'start_time': '1598995788'}  消息处理总量:9条
2020-09-02 at 05:34:09 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_hk_all', 'end_time': '1598996063', 'start_time': '1598996063'}  消息处理总量:1条
2020-09-02 at 05:37:32 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastday_raw', 'spider_name': 'caijing_eastday_caijing', 'end_time': '1598996250', 'start_time': '1598996244'}  消息处理总量:5条
2020-09-02 at 05:38:09 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_jigou_all', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598996240', 'start_time': '1598996240'}  消息处理总量:1条
2020-09-02 at 05:40:48 | SUCCESS | 消息内容:{'spider_name': 'caijing_mysteel_zonghe_all', 'collection_name': 'sy_news_finance_mysteel_raw', 'end_time': '1598996443', 'start_time': '1598996418'}  消息处理总量:2条
2020-09-02 at 05:46:28 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_ccjxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598996775', 'start_time': '1598996768'}  消息处理总量:12条
2020-09-02 at 05:51:30 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican', 'end_time': '1598997095', 'start_time': '1598997093'}  消息处理总量:3条
2020-09-02 at 05:53:39 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastday_caijing', 'collection_name': 'sy_news_finance_eastday_raw', 'end_time': '1598997212', 'start_time': '1598997211'}  消息处理总量:2条
2020-09-02 at 05:54:30 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_leju_raw', 'spider_name': 'caijing_leju_lejucaijing_all', 'end_time': '1598997221', 'start_time': '1598997221'}  消息处理总量:1条
2020-09-02 at 05:59:02 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cnlist_raw', 'spider_name': 'caijing_cnlist_cjxw', 'end_time': '1598997552', 'start_time': '1598997552'}  消息处理总量:1条
2020-09-02 at 06:01:35 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_hk_all', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598997715', 'start_time': '1598997715'}  消息处理总量:2条
2020-09-02 at 06:04:30 | SUCCESS | 消息内容:{'spider_name': 'hangye_autohome_news', 'collection_name': 'sy_news_hangye_autohome_raw', 'end_time': '1598997892', 'start_time': '1598997888'}  消息处理总量:8条
2020-09-02 at 06:07:49 | SUCCESS | 消息内容:{'spider_name': 'caijing_yuncaijing_neican', 'collection_name': 'sy_news_finance_yuncaijing_raw', 'end_time': '1598998080', 'start_time': '1598998073'}  消息处理总量:2条
2020-09-02 at 06:10:03 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_qqdd', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598998213', 'start_time': '1598998213'}  消息处理总量:1条
2020-09-02 at 06:12:23 | SUCCESS | 消息内容:{'spider_name': 'caijing_leju_lejucaijing_all', 'collection_name': 'sy_news_finance_leju_raw', 'end_time': '1598998321', 'start_time': '1598998321'}  消息处理总量:1条
2020-09-02 at 06:16:10 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican', 'end_time': '1598998586', 'start_time': '1598998562'}  消息处理总量:10条
2020-09-02 at 06:18:45 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_ccjxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598998733', 'start_time': '1598998729'}  消息处理总量:8条
2020-09-02 at 06:24:33 | SUCCESS | 消息内容:{'spider_name': 'caijing_yuncaijing_neican', 'collection_name': 'sy_news_finance_yuncaijing_raw', 'end_time': '1598999057', 'start_time': '1598999053'}  消息处理总量:7条
2020-09-02 at 06:27:42 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_gsyw', 'end_time': '1598999269', 'start_time': '1598999265'}  消息处理总量:9条
2020-09-02 at 06:31:50 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_wh', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598999470', 'start_time': '1598999470'}  消息处理总量:1条
2020-09-02 at 06:35:22 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_gsxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598999734', 'start_time': '1598999732'}  消息处理总量:2条
2020-09-02 at 06:40:44 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican', 'end_time': '1599000036', 'start_time': '1599000034'}  消息处理总量:2条
2020-09-02 at 06:42:08 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_investorchina_raw', 'spider_name': 'caijing_investorchina_scgz', 'end_time': '1599000087', 'start_time': '1599000087'}  消息处理总量:1条
2020-09-02 at 06:43:39 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_ccjxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1599000209', 'start_time': '1599000197'}  消息处理总量:20条
2020-09-02 at 06:44:52 | SUCCESS | 消息内容:{'spider_name': 'hangye_autohome_news', 'collection_name': 'sy_news_hangye_autohome_raw', 'end_time': '1599000332', 'start_time': '1599000332'}  消息处理总量:1条
2020-09-02 at 06:46:45 | SUCCESS | 消息内容:{'spider_name': 'caijing_hexun_hongguan', 'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1599000423', 'start_time': '1599000423'}  消息处理总量:2条
2020-09-02 at 06:48:40 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican', 'end_time': '1599000531', 'start_time': '1599000524'}  消息处理总量:3条
2020-09-02 at 06:50:23 | SUCCESS | 消息内容:{'spider_name': 'caijing_21jingji_politics', 'collection_name': 'sy_news_finance_21jingji_raw', 'end_time': '1599000636', 'start_time': '1599000633'}  消息处理总量:5条
2020-09-02 at 06:50:50 | SUCCESS | 消息内容:{'spider_name': 'hangye_smm_news', 'collection_name': 'sy_news_hangye_smm_raw', 'end_time': '1599000693', 'start_time': '1599000693'}  消息处理总量:1条
2020-09-02 at 06:51:53 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_stock_all', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1599000676', 'start_time': '1599000658'}  消息处理总量:7条
2020-09-02 at 06:53:14 | SUCCESS | 消息内容:{'spider_name': 'caijing_21jingji_money', 'collection_name': 'sy_news_finance_21jingji_raw', 'end_time': '1599000815', 'start_time': '1599000813'}  消息处理总量:2条
2020-09-02 at 06:54:55 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_hongguan', 'end_time': '1599000914', 'start_time': '1599000913'}  消息处理总量:3条
2020-09-02 at 06:56:33 | SUCCESS | 消息内容:{'spider_name': 'caijing_jrj_gncj', 'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1599001015', 'start_time': '1599001015'}  消息处理总量:1条
2020-09-02 at 06:57:05 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican', 'end_time': '1599001019', 'start_time': '1599001013'}  消息处理总量:3条
2020-09-02 at 06:58:25 | SUCCESS | 消息内容:{'spider_name': 'caijing_cnlist_cjxw', 'collection_name': 'sy_news_finance_cnlist_raw', 'end_time': '1599001109', 'start_time': '1599001104'}  消息处理总量:6条
2020-09-02 at 07:01:18 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_gsyw', 'end_time': '1599001234', 'start_time': '1599001225'}  消息处理总量:16条
2020-09-02 at 07:03:41 | SUCCESS | 消息内容:{'spider_name': 'caijing_cnfol_gegu', 'collection_name': 'sy_news_finance_cnfol_raw', 'end_time': '1599001327', 'start_time': '1599001283'}  消息处理总量:65条
2020-09-02 at 07:05:04 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican', 'end_time': '1599001506', 'start_time': '1599001506'}  消息处理总量:1条
2020-09-02 at 07:07:01 | SUCCESS | 消息内容:{'spider_name': 'caijing_qq_hongguan', 'collection_name': 'sy_news_finance_qq_raw', 'end_time': '1599001644', 'start_time': '1599001644'}  消息处理总量:1条
2020-09-02 at 07:07:44 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_leju_raw', 'spider_name': 'caijing_leju_lejucaijing_all', 'end_time': '1599001607', 'start_time': '1599001607'}  消息处理总量:1条
2020-09-02 at 07:08:42 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_ssgs', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1599001744', 'start_time': '1599001744'}  消息处理总量:1条
2020-09-02 at 07:09:47 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_blog_raw', 'spider_name': 'caijing_sina_blog', 'end_time': '1599001707', 'start_time': '1599001706'}  消息处理总量:2条
2020-09-02 at 07:09:59 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_jigou_all', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1599001800', 'start_time': '1599001797'}  消息处理总量:2条
2020-09-02 at 07:11:44 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all', 'end_time': '1599001891', 'start_time': '1599001876'}  消息处理总量:2条
2020-09-02 at 07:13:14 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican', 'end_time': '1599001994', 'start_time': '1599001993'}  消息处理总量:2条
2020-09-02 at 07:14:03 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_guonei', 'end_time': '1599002054', 'start_time': '1599002052'}  消息处理总量:5条
2020-09-02 at 07:15:14 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastday_raw', 'spider_name': 'caijing_eastday_caijing', 'end_time': '1599002104', 'start_time': '1599002104'}  消息处理总量:1条
2020-09-02 at 07:16:39 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cnstock_raw', 'spider_name': 'caijing_cnstock_cyjj', 'end_time': '1599002212', 'start_time': '1599002212'}  消息处理总量:1条
2020-09-02 at 07:18:38 | SUCCESS | 消息内容:{'spider_name': 'caijing_ce_hy', 'collection_name': 'sy_news_finance_ce_raw', 'end_time': '1599002337', 'start_time': '1599002337'}  消息处理总量:1条
2020-09-02 at 07:19:15 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_chanjing', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1599002366', 'start_time': '1599002364'}  消息处理总量:3条
2020-09-02 at 07:21:28 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cyzone_raw', 'spider_name': 'caijing_cyzone_zuixin', 'end_time': '1599002427', 'start_time': '1599002423'}  消息处理总量:2条
2020-09-02 at 07:21:34 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_zhicheng_raw', 'spider_name': 'caijing_zhicheng_caijing', 'end_time': '1599002507', 'start_time': '1599002507'}  消息处理总量:1条
2020-09-02 at 07:22:49 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_cgnjj', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1599002525', 'start_time': '1599002519'}  消息处理总量:12条
2020-09-02 at 07:26:29 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_ccjxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1599002676', 'start_time': '1599002648'}  消息处理总量:44条
2020-09-02 at 07:27:41 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all', 'end_time': '1599002823', 'start_time': '1599002796'}  消息处理总量:3条
2020-09-02 at 07:28:41 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cnal_raw', 'spider_name': 'caijing_cnal_hyjj', 'end_time': '1599002914', 'start_time': '1599002914'}  消息处理总量:1条
2020-09-02 at 07:29:47 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_cgnjj', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1599003008', 'start_time': '1599003008'}  消息处理总量:1条
2020-09-02 at 07:30:25 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_gsxw', 'end_time': '1599003036', 'start_time': '1599003033'}  消息处理总量:4条
2020-09-02 at 07:31:43 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cnfol_raw', 'spider_name': 'caijing_cnfol_gegu', 'end_time': '1599003113', 'start_time': '1599003112'}  消息处理总量:3条
