2020-09-01 at 00:00:04 | SUCCESS | 消息内容:{'end_time': '1598861087', 'spider_name': 'caijing_cs_cjyw', 'start_time': '1598861083', 'collection_name': 'sy_news_finance_cs_raw'}  消息处理总量:6条
2020-09-01 at 00:08:26 | SUCCESS | 消息内容:{'end_time': '1598862726', 'spider_name': 'caijing_eastmoney_jigou_all', 'start_time': '1598862651', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:7条
2020-09-01 at 00:09:06 | SUCCESS | 消息内容:{'end_time': '1598862823', 'spider_name': 'caijing_cnfol_gegu', 'start_time': '1598862814', 'collection_name': 'sy_news_finance_cnfol_raw'}  消息处理总量:16条
2020-09-01 at 00:09:23 | SUCCESS | 消息内容:{'end_time': '1598862948', 'spider_name': 'caijing_eastmoney_caijing', 'start_time': '1598862945', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:5条
2020-09-01 at 00:09:43 | SUCCESS | 消息内容:{'end_time': '1598862952', 'spider_name': 'caijing_eastday_caijing', 'start_time': '1598862946', 'collection_name': 'sy_news_finance_eastday_raw'}  消息处理总量:8条
2020-09-01 at 00:09:55 | SUCCESS | 消息内容:{'end_time': '1598863019', 'spider_name': 'caijing_cnfol_cyjj', 'start_time': '1598863013', 'collection_name': 'sy_news_finance_cnfol_raw'}  消息处理总量:2条
2020-09-01 at 00:10:02 | SUCCESS | 消息内容:{'end_time': '1598863015', 'spider_name': 'caijing_huxiu_zixun', 'start_time': '1598863015', 'collection_name': 'sy_news_finance_huxiu_raw'}  消息处理总量:2条
2020-09-01 at 00:10:13 | SUCCESS | 消息内容:{'end_time': '1598863076', 'spider_name': 'caijing_sina_ssgs', 'start_time': '1598863075', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:3条
2020-09-01 at 00:10:26 | SUCCESS | 消息内容:{'end_time': '1598863091', 'spider_name': 'caijing_36kr_zixun', 'start_time': '1598863083', 'collection_name': 'sy_news_finance_36kr_raw'}  消息处理总量:4条
2020-09-01 at 00:10:32 | SUCCESS | 消息内容:{'end_time': '1598863145', 'spider_name': 'caijing_jrj_chanjing', 'start_time': '1598863145', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:1条
2020-09-01 at 00:10:41 | SUCCESS | 消息内容:{'end_time': '1598863122', 'spider_name': 'caijing_winshang_yaowen_all', 'start_time': '1598863059', 'collection_name': 'sy_news_finance_winshang_raw'}  消息处理总量:2条
2020-09-01 at 00:10:45 | SUCCESS | 消息内容:{'end_time': '1598863134', 'spider_name': 'caijing_zhicheng_caijing', 'start_time': '1598863134', 'collection_name': 'sy_news_finance_zhicheng_raw'}  消息处理总量:1条
2020-09-01 at 00:11:37 | SUCCESS | 消息内容:{'end_time': '1598863184', 'spider_name': 'caijing_eastmoney_stock_all', 'start_time': '1598863167', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:9条
2020-09-01 at 00:11:42 | SUCCESS | 消息内容:{'end_time': '1598863283', 'spider_name': 'caijing_caixin_companies', 'start_time': '1598863282', 'collection_name': 'sy_news_finance_caixin_raw'}  消息处理总量:2条
2020-09-01 at 00:11:51 | SUCCESS | 消息内容:{'end_time': '1598863326', 'spider_name': 'caijing_jrj_gncj', 'start_time': '1598863326', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:1条
2020-09-01 at 00:12:20 | SUCCESS | 消息内容:{'end_time': '1598863342', 'spider_name': 'caijing_eastmoney_gsxw', 'start_time': '1598863332', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:16条
2020-09-01 at 00:12:24 | SUCCESS | 消息内容:{'end_time': '1598863407', 'spider_name': 'caijing_jrj_ss', 'start_time': '1598863405', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:0条
2020-09-01 at 00:12:29 | SUCCESS | 消息内容:{'end_time': '1598863443', 'spider_name': 'hangye_smm_news', 'start_time': '1598863443', 'collection_name': 'sy_news_hangye_smm_raw'}  消息处理总量:1条
2020-09-01 at 00:12:43 | SUCCESS | 消息内容:{'end_time': '1598863441', 'spider_name': 'caijing_eastmoney_caijing', 'start_time': '1598863436', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:6条
2020-09-01 at 00:13:42 | SUCCESS | 消息内容:{'end_time': '1598863521', 'spider_name': 'caijing_eastmoney_hk_all', 'start_time': '1598863513', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:27条
2020-09-01 at 00:14:22 | SUCCESS | 消息内容:{'end_time': '1598863544', 'spider_name': 'caijing_hexun_gsyw', 'start_time': '1598863534', 'collection_name': 'sy_news_finance_hexun_raw'}  消息处理总量:18条
2020-09-01 at 00:14:25 | SUCCESS | 消息内容:{'end_time': '1598863615', 'spider_name': 'hangye_dcement_news', 'start_time': '1598863615', 'collection_name': 'sy_news_hangye_dcement_raw'}  消息处理总量:1条
2020-09-01 at 00:14:35 | SUCCESS | 消息内容:{'end_time': '1598863601', 'spider_name': 'caijing_mysteel_zonghe_all', 'start_time': '1598863594', 'collection_name': 'sy_news_finance_mysteel_raw'}  消息处理总量:2条
2020-09-01 at 00:14:39 | SUCCESS | 消息内容:{'end_time': '1598863583', 'spider_name': 'caijing_smm_yaowen', 'start_time': '1598863583', 'collection_name': 'sy_news_finance_smm_raw'}  消息处理总量:1条
2020-09-01 at 00:14:42 | SUCCESS | 消息内容:{'end_time': '1598863620', 'spider_name': 'caijing_cs_gongsi', 'start_time': '1598863620', 'collection_name': 'sy_news_finance_cs_raw'}  消息处理总量:1条
2020-09-01 at 00:14:50 | SUCCESS | 消息内容:{'end_time': '1598863634', 'spider_name': 'caijing_jrj_chanjing', 'start_time': '1598863634', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:1条
2020-09-01 at 00:14:53 | SUCCESS | 消息内容:{'end_time': '1598863654', 'spider_name': 'caijing_yicai_Agu', 'start_time': '1598863654', 'collection_name': 'sy_news_finance_yicai_raw'}  消息处理总量:1条
2020-09-01 at 00:15:00 | SUCCESS | 消息内容:{'end_time': '1598863692', 'spider_name': 'caijing_sina_chanjing', 'start_time': '1598863692', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:1条
2020-09-01 at 00:15:04 | SUCCESS | 消息内容:{'end_time': '1598863697', 'spider_name': 'caijing_iyiou_kuaixun', 'start_time': '1598863693', 'collection_name': 'sy_news_finance_iyiou_raw'}  消息处理总量:2条
2020-09-01 at 00:15:08 | SUCCESS | 消息内容:{'end_time': '1598863713', 'spider_name': 'caijing_hexun_hongguan', 'start_time': '1598863713', 'collection_name': 'sy_news_finance_hexun_raw'}  消息处理总量:1条
2020-09-01 at 00:15:22 | SUCCESS | 消息内容:{'end_time': '1598863725', 'spider_name': 'caijing_southmoney_caijingyaowen', 'start_time': '1598863725', 'collection_name': 'sy_news_finance_southmoney_raw'}  消息处理总量:2条
2020-09-01 at 00:15:55 | SUCCESS | 消息内容:{'end_time': '1598863736', 'spider_name': 'caijing_eastmoney_stock_all', 'start_time': '1598863712', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:10条
2020-09-01 at 00:15:59 | SUCCESS | 消息内容:{'end_time': '1598863872', 'spider_name': 'caijing_sina_guonei', 'start_time': '1598863872', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:1条
2020-09-01 at 00:16:37 | SUCCESS | 消息内容:{'end_time': '1598863894', 'spider_name': 'caijing_eastmoney_gsxw', 'start_time': '1598863882', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:19条
2020-09-01 at 00:16:41 | SUCCESS | 消息内容:{'end_time': '1598863945', 'spider_name': 'caijing_10jqka_cjyw', 'start_time': '1598863932', 'collection_name': 'sy_news_finance_10jqka_raw'}  消息处理总量:1条
2020-09-01 at 00:16:46 | SUCCESS | 消息内容:{'end_time': '1598864005', 'spider_name': 'caijing_stcn_gs', 'start_time': '1598864004', 'collection_name': 'sy_news_finance_stcn_raw'}  消息处理总量:2条
2020-09-01 at 00:16:52 | SUCCESS | 消息内容:{'end_time': '1598864054', 'spider_name': 'hangye_smm_news', 'start_time': '1598864052', 'collection_name': 'sy_news_hangye_smm_raw'}  消息处理总量:3条
2020-09-01 at 00:17:06 | SUCCESS | 消息内容:{'end_time': '1598864055', 'spider_name': 'caijing_sina_ssgs', 'start_time': '1598864055', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:2条
2020-09-01 at 00:17:14 | SUCCESS | 消息内容:{'end_time': '1598864113', 'spider_name': 'hangye_autohome_news', 'start_time': '1598864113', 'collection_name': 'sy_news_hangye_autohome_raw'}  消息处理总量:1条
2020-09-01 at 00:17:19 | SUCCESS | 消息内容:{'end_time': '1598864077', 'spider_name': 'caijing_smm_yaowen', 'start_time': '1598864073', 'collection_name': 'sy_news_finance_smm_raw'}  消息处理总量:2条
2020-09-01 at 00:17:27 | SUCCESS | 消息内容:{'end_time': '1598864106', 'spider_name': 'caijing_cyzone_zuixin', 'start_time': '1598864106', 'collection_name': 'sy_news_finance_cyzone_raw'}  消息处理总量:1条
2020-09-01 at 00:17:39 | SUCCESS | 消息内容:{'end_time': '1598864152', 'spider_name': 'caijing_ccmn_yaowen', 'start_time': '1598864142', 'collection_name': 'sy_news_finance_ccmn_raw'}  消息处理总量:7条
2020-09-01 at 00:17:44 | SUCCESS | 消息内容:{'end_time': '1598864188', 'spider_name': 'caijing_sina_chanjing', 'start_time': '1598864188', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:1条
2020-09-01 at 00:17:54 | SUCCESS | 消息内容:{'end_time': '1598864217', 'spider_name': 'caijing_stockstar_gs', 'start_time': '1598864214', 'collection_name': 'sy_news_finance_stockstar_raw'}  消息处理总量:5条
2020-09-01 at 00:18:06 | SUCCESS | 消息内容:{'end_time': '1598864284', 'spider_name': 'caijing_pedaily_gundong', 'start_time': '1598864284', 'collection_name': 'sy_news_finance_pedaily_raw'}  消息处理总量:2条
2020-09-01 at 00:18:44 | SUCCESS | 消息内容:{'end_time': '1598864282', 'spider_name': 'caijing_eastmoney_stock_all', 'start_time': '1598864271', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:16条
2020-09-01 at 00:18:47 | SUCCESS | 消息内容:{'end_time': '1598864390', 'spider_name': 'caijing_jrj_ss', 'start_time': '1598864386', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:0条
2020-09-01 at 00:18:57 | SUCCESS | 消息内容:{'end_time': '1598864415', 'spider_name': 'caijing_eastmoney_caijing', 'start_time': '1598864414', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:3条
2020-09-01 at 00:19:12 | SUCCESS | 消息内容:{'end_time': '1598864439', 'spider_name': 'caijing_eastmoney_gsxw', 'start_time': '1598864433', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:8条
2020-09-01 at 00:19:21 | SUCCESS | 消息内容:{'end_time': '1598864482', 'spider_name': 'caijing_askci_gcy', 'start_time': '1598864476', 'collection_name': 'sy_news_finance_askci_raw'}  消息处理总量:4条
2020-09-01 at 00:19:34 | SUCCESS | 消息内容:{'end_time': '1598864500', 'spider_name': 'caijing_mysteel_zonghe_all', 'start_time': '1598864472', 'collection_name': 'sy_news_finance_mysteel_raw'}  消息处理总量:4条
2020-09-01 at 00:19:41 | SUCCESS | 消息内容:{'end_time': '1598864518', 'spider_name': 'caijing_cs_cjyw', 'start_time': '1598864515', 'collection_name': 'sy_news_finance_cs_raw'}  消息处理总量:2条
2020-09-01 at 00:20:35 | SUCCESS | 消息内容:{'end_time': '1598864565', 'spider_name': 'caijing_sina_ssgs', 'start_time': '1598864546', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:34条
2020-09-01 at 00:21:29 | SUCCESS | 消息内容:{'end_time': '1598864580', 'spider_name': 'caijing_hexun_gsyw', 'start_time': '1598864515', 'collection_name': 'sy_news_finance_hexun_raw'}  消息处理总量:32条
2020-09-01 at 00:21:32 | SUCCESS | 消息内容:{'end_time': '1598864569', 'spider_name': 'caijing_chinaventure_tuijian', 'start_time': '1598864569', 'collection_name': 'sy_news_finance_chinaventure_raw'}  消息处理总量:1条
2020-09-01 at 00:21:43 | SUCCESS | 消息内容:{'end_time': '1598864668', 'spider_name': 'caijing_eastmoney_hk_all', 'start_time': '1598864664', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:4条
2020-09-01 at 00:21:57 | SUCCESS | 消息内容:{'end_time': '1598864733', 'spider_name': 'caijing_leju_lejucaijing_all', 'start_time': '1598864676', 'collection_name': 'sy_news_finance_leju_raw'}  消息处理总量:7条
2020-09-01 at 00:22:02 | SUCCESS | 消息内容:{'end_time': '1598864865', 'spider_name': 'hangye_bjx_yaowen', 'start_time': '1598864864', 'collection_name': 'sy_news_hangye_bjx_raw'}  消息处理总量:3条
2020-09-01 at 00:22:23 | SUCCESS | 消息内容:{'end_time': '1598864855', 'spider_name': 'caijing_eastmoney_cgnjj', 'start_time': '1598864849', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:8条
2020-09-01 at 00:22:32 | SUCCESS | 消息内容:{'end_time': '1598864938', 'spider_name': 'caijing_zhicheng_caijing', 'start_time': '1598864936', 'collection_name': 'sy_news_finance_zhicheng_raw'}  消息处理总量:2条
2020-09-01 at 00:22:36 | SUCCESS | 消息内容:{'end_time': '1598864944', 'spider_name': 'caijing_southmoney_caijingyaowen', 'start_time': '1598864944', 'collection_name': 'sy_news_finance_southmoney_raw'}  消息处理总量:1条
2020-09-01 at 00:24:20 | SUCCESS | 消息内容:{'end_time': '1598864997', 'spider_name': 'caijing_eastmoney_ccjxw', 'start_time': '1598864958', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:59条
2020-09-01 at 00:24:23 | SUCCESS | 消息内容:{'end_time': '1598865413', 'spider_name': 'caijing_cnstock_news_all', 'start_time': '1598865413', 'collection_name': 'sy_news_finance_cnstock_raw'}  消息处理总量:1条
2020-09-01 at 00:24:32 | SUCCESS | 消息内容:{'end_time': '1598865399', 'spider_name': 'caijing_eastday_caijing', 'start_time': '1598865394', 'collection_name': 'sy_news_finance_eastday_raw'}  消息处理总量:2条
2020-09-01 at 00:24:34 | SUCCESS | 消息内容:{'end_time': '1598865423', 'spider_name': 'caijing_jrj_xsb', 'start_time': '1598865415', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:0条
2020-09-01 at 00:24:37 | SUCCESS | 消息内容:{'end_time': '1598865396', 'spider_name': 'caijing_guandian_news_all', 'start_time': '1598865396', 'collection_name': 'sy_news_finance_guandian_raw'}  消息处理总量:1条
2020-09-01 at 00:24:49 | SUCCESS | 消息内容:{'end_time': '1598865406', 'spider_name': 'caijing_mysteel_zonghe_all', 'start_time': '1598865373', 'collection_name': 'sy_news_finance_mysteel_raw'}  消息处理总量:4条
2020-09-01 at 00:24:56 | SUCCESS | 消息内容:{'end_time': '1598865468', 'spider_name': 'caijing_youth_djgj', 'start_time': '1598865467', 'collection_name': 'sy_news_finance_youth_raw'}  消息处理总量:2条
2020-09-01 at 00:25:02 | SUCCESS | 消息内容:{'end_time': '1598865515', 'spider_name': 'caijing_abi_zixun', 'start_time': '1598865514', 'collection_name': 'sy_news_finance_abi_raw'}  消息处理总量:2条
2020-09-01 at 00:27:52 | SUCCESS | 消息内容:{'end_time': '1598865520', 'spider_name': 'caijing_eastmoney_ccjxw', 'start_time': '1598865448', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:76条
2020-09-01 at 00:27:55 | SUCCESS | 消息内容:{'end_time': '1598865953', 'spider_name': 'caijing_cnstock_stock_all', 'start_time': '1598865953', 'collection_name': 'sy_news_finance_cnstock_raw'}  消息处理总量:1条
2020-09-01 at 00:28:02 | SUCCESS | 消息内容:{'end_time': '1598865930', 'spider_name': 'caijing_cyzone_zuixin', 'start_time': '1598865930', 'collection_name': 'sy_news_finance_cyzone_raw'}  消息处理总量:1条
