2020-06-30 at 09:15:14 | SUCCESS | 消息内容:{'spider_name': 'caijing_jrj_chanjing', 'end_time': '1592819228', 'collection_name': 'sy_news_finance_jrj_raw', 'start_time': '1592819224'}  消息处理总量:6条
2020-06-30 at 09:17:18 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'start_time': '1592819778', 'end_time': '1592819796'}  消息处理总量:29条
2020-06-30 at 09:17:22 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_cgnjj', 'start_time': '1592820137', 'end_time': '1592820139'}  消息处理总量:2条
2020-06-30 at 09:17:23 | SUCCESS | 消息内容:{'start_time': '1592820114', 'spider_name': 'caijing_sina_ssgs', 'end_time': '1592820117', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:6条
2020-06-30 at 09:17:26 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_autohome_raw', 'spider_name': 'hangye_autohome_news', 'start_time': '1592820172', 'end_time': '1592820172'}  消息处理总量:1条
2020-06-30 at 09:17:27 | SUCCESS | 消息内容:{'start_time': '1592820166', 'spider_name': 'caijing_eastmoney_caijing', 'end_time': '1592820166', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:1条
2020-06-30 at 09:17:29 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_10jqka_raw', 'spider_name': 'caijing_10jqka_cjyw', 'start_time': '1592820153', 'end_time': '1592820153'}  消息处理总量:1条
2020-06-30 at 09:17:31 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_people_raw', 'spider_name': 'caijing_people_hyycy', 'start_time': '1592820203', 'end_time': '1592820203'}  消息处理总量:1条
2020-06-30 at 09:17:31 | SUCCESS | 消息内容:{'start_time': '1592820182', 'spider_name': 'caijing_hexun_hongguan', 'end_time': '1592820184', 'collection_name': 'sy_news_finance_hexun_raw'}  消息处理总量:3条
2020-06-30 at 09:17:34 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_163_raw', 'spider_name': 'caijing_163_gupiao', 'start_time': '1592820214', 'end_time': '1592820214'}  消息处理总量:1条
2020-06-30 at 09:17:37 | SUCCESS | 消息内容:{'start_time': '1592820272', 'spider_name': 'hangye_smm_news', 'end_time': '1592820272', 'collection_name': 'sy_news_hangye_smm_raw'}  消息处理总量:1条
2020-06-30 at 09:17:38 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_36kr_raw', 'spider_name': 'caijing_36kr_zixun', 'start_time': '1592820271', 'end_time': '1592820271'}  消息处理总量:1条
2020-06-30 at 09:17:42 | SUCCESS | 消息内容:{'start_time': '1592820312', 'spider_name': 'caijing_hexun_gsyw', 'end_time': '1592820314', 'collection_name': 'sy_news_finance_hexun_raw'}  消息处理总量:4条
2020-06-30 at 09:17:43 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_yicai_raw', 'spider_name': 'caijing_yicai_dz', 'start_time': '1592820336', 'end_time': '1592820336'}  消息处理总量:1条
2020-06-30 at 09:17:46 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_ccjxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1592820110', 'start_time': '1592820087'}  消息处理总量:27条
2020-06-30 at 09:17:47 | SUCCESS | 消息内容:{'start_time': '1592820345', 'spider_name': 'caijing_eastmoney_ganggu', 'end_time': '1592820346', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:3条
2020-06-30 at 09:17:49 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_chanjing', 'end_time': '1592820373', 'collection_name': 'sy_news_finance_sina_raw', 'start_time': '1592820373'}  消息处理总量:1条
2020-06-30 at 09:17:49 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_ss', 'start_time': '1592820365', 'end_time': '1592820366'}  消息处理总量:4条
2020-06-30 at 09:17:52 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_zsscdt', 'end_time': '1592820375', 'collection_name': 'sy_news_finance_sina_raw', 'start_time': '1592820375'}  消息处理总量:1条
2020-06-30 at 09:17:52 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_cena_raw', 'spider_name': 'hangye_cena_news', 'start_time': '1592820453', 'end_time': '1592820453'}  消息处理总量:1条
2020-06-30 at 09:17:55 | SUCCESS | 消息内容:{'spider_name': 'caijing_stockstar_gs', 'end_time': '1592820437', 'collection_name': 'sy_news_finance_stockstar_raw', 'start_time': '1592820435'}  消息处理总量:4条
2020-06-30 at 09:17:57 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_zq', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1592820505', 'start_time': '1592820505'}  消息处理总量:1条
2020-06-30 at 09:17:58 | SUCCESS | 消息内容:{'start_time': '1592820396', 'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1592820401', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:6条
2020-06-30 at 09:18:00 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_chanjing', 'start_time': '1592820464', 'end_time': '1592820467'}  消息处理总量:6条
2020-06-30 at 09:18:01 | SUCCESS | 消息内容:{'start_time': '1592820545', 'spider_name': 'caijing_cs_gsxw', 'end_time': '1592820545', 'collection_name': 'sy_news_finance_cs_raw'}  消息处理总量:1条
2020-06-30 at 09:18:03 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_guonei', 'start_time': '1592820552', 'end_time': '1592820552'}  消息处理总量:1条
2020-06-30 at 09:18:03 | SUCCESS | 消息内容:{'spider_name': 'caijing_huxiu_zixun', 'collection_name': 'sy_news_finance_huxiu_raw', 'end_time': '1592820535', 'start_time': '1592820532'}  消息处理总量:3条
2020-06-30 at 09:18:05 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_gsyw', 'start_time': '1592820622', 'end_time': '1592820622'}  消息处理总量:1条
2020-06-30 at 09:18:07 | SUCCESS | 消息内容:{'start_time': '1592820563', 'spider_name': 'caijing_36kr_zixun', 'end_time': '1592820573', 'collection_name': 'sy_news_finance_36kr_raw'}  消息处理总量:2条
2020-06-30 at 09:18:09 | SUCCESS | 消息内容:{'spider_name': 'caijing_jrj_gncj', 'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1592820646', 'start_time': '1592820645'}  消息处理总量:3条
2020-06-30 at 09:18:12 | SUCCESS | 消息内容:{'spider_name': 'caijing_iyiou_kuaixun', 'collection_name': 'sy_news_finance_iyiou_raw', 'end_time': '1592820690', 'start_time': '1592820690'}  消息处理总量:1条
2020-06-30 at 09:18:12 | SUCCESS | 消息内容:{'start_time': '1592820692', 'spider_name': 'caijing_china_zq', 'end_time': '1592820692', 'collection_name': 'sy_news_finance_china_raw'}  消息处理总量:1条
2020-06-30 at 09:18:17 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ganggu', 'start_time': '1592820654', 'end_time': '1592820665'}  消息处理总量:9条
2020-06-30 at 09:18:18 | SUCCESS | 消息内容:{'start_time': '1592820735', 'spider_name': 'caijing_sina_ssgs', 'end_time': '1592820735', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:2条
2020-06-30 at 09:18:20 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_china_raw', 'spider_name': 'caijing_china_chanjing', 'start_time': '1592820522', 'end_time': '1592820522'}  消息处理总量:1条
2020-06-30 at 09:18:21 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_ccjxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1592820715', 'start_time': '1592820710'}  消息处理总量:8条
2020-06-30 at 09:18:22 | SUCCESS | 消息内容:{'start_time': '1592820823', 'spider_name': 'caijing_cnfol_cyjj', 'end_time': '1592820823', 'collection_name': 'sy_news_finance_cnfol_raw'}  消息处理总量:1条
2020-06-30 at 09:18:23 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_czggng', 'start_time': '1592820834', 'end_time': '1592820834'}  消息处理总量:1条
2020-06-30 at 09:18:25 | SUCCESS | 消息内容:{'spider_name': 'caijing_cs_gsxw', 'end_time': '1592820856', 'collection_name': 'sy_news_finance_cs_raw', 'start_time': '1592820854'}  消息处理总量:4条
2020-06-30 at 09:18:26 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_bjnews_raw', 'spider_name': 'caijing_bjnews_finance', 'start_time': '1592820876', 'end_time': '1592820877'}  消息处理总量:2条
2020-06-30 at 09:18:27 | SUCCESS | 消息内容:{'start_time': '1592820861', 'spider_name': 'caijing_sina_guonei', 'end_time': '1592820862', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:3条
2020-06-30 at 09:18:28 | SUCCESS | 消息内容:{'spider_name': 'caijing_jiemian_jt', 'end_time': '1592820883', 'collection_name': 'sy_news_finance_jiemian_raw', 'start_time': '1592820883'}  消息处理总量:1条
2020-06-30 at 09:18:30 | SUCCESS | 消息内容:{'start_time': '1592820592', 'spider_name': 'caijing_dahe_cjyw', 'end_time': '1592820592', 'collection_name': 'sy_news_finance_dahe_raw'}  消息处理总量:1条
2020-06-30 at 09:18:31 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_lieyunwang_raw', 'spider_name': 'caijing_lieyunwang_zixun', 'start_time': '1592820895', 'end_time': '1592820904'}  消息处理总量:2条
2020-06-30 at 09:18:32 | SUCCESS | 消息内容:{'spider_name': 'caijing_hexun_gsyw', 'end_time': '1592820935', 'collection_name': 'sy_news_finance_hexun_raw', 'start_time': '1592820933'}  消息处理总量:3条
2020-06-30 at 09:18:34 | SUCCESS | 消息内容:{'start_time': '1592820943', 'spider_name': 'caijing_zhongtou8_hongguan', 'end_time': '1592820944', 'collection_name': 'sy_news_finance_zhongtou8_raw'}  消息处理总量:2条
2020-06-30 at 09:18:35 | SUCCESS | 消息内容:{'spider_name': 'caijing_163_hangye', 'collection_name': 'sy_news_finance_163_raw', 'end_time': '1592820995', 'start_time': '1592820995'}  消息处理总量:1条
2020-06-30 at 09:18:37 | SUCCESS | 消息内容:{'start_time': '1592820963', 'spider_name': 'caijing_eastday_caijing', 'end_time': '1592820967', 'collection_name': 'sy_news_finance_eastday_raw'}  消息处理总量:2条
2020-06-30 at 09:18:39 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_ccjxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1592821017', 'start_time': '1592821017'}  消息处理总量:1条
2020-06-30 at 09:18:42 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_ss', 'start_time': '1592820984', 'end_time': '1592820989'}  消息处理总量:8条
2020-06-30 at 09:18:43 | SUCCESS | 消息内容:{'spider_name': 'caijing_jiemian_xiaofei', 'end_time': '1592821063', 'collection_name': 'sy_news_finance_jiemian_raw', 'start_time': '1592821063'}  消息处理总量:1条
2020-06-30 at 09:18:46 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_caijing', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1592821096', 'start_time': '1592821096'}  消息处理总量:1条
2020-06-30 at 09:18:46 | SUCCESS | 消息内容:{'start_time': '1592821082', 'spider_name': 'hangye_mining120_guonei', 'end_time': '1592821085', 'collection_name': 'sy_news_hangye_mining120_raw'}  消息处理总量:6条
2020-06-30 at 09:18:49 | SUCCESS | 消息内容:{'spider_name': 'caijing_hexun_hongguan', 'end_time': '1592821112', 'collection_name': 'sy_news_finance_hexun_raw', 'start_time': '1592821112'}  消息处理总量:1条
2020-06-30 at 09:18:49 | SUCCESS | 消息内容:{'start_time': '1592821131', 'spider_name': 'caijing_591hx_scjh', 'end_time': '1592821131', 'collection_name': 'sy_news_finance_591hx_raw'}  消息处理总量:1条
2020-06-30 at 09:18:49 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_chanjing', 'start_time': '1592821084', 'end_time': '1592821086'}  消息处理总量:4条
2020-06-30 at 09:18:51 | SUCCESS | 消息内容:{'spider_name': 'caijing_cnstock_cyjj', 'end_time': '1592821184', 'collection_name': 'sy_news_finance_cnstock_raw', 'start_time': '1592821184'}  消息处理总量:1条
2020-06-30 at 09:18:51 | SUCCESS | 消息内容:{'start_time': '1592821185', 'spider_name': 'caijing_10jqka_zqzx', 'end_time': '1592821185', 'collection_name': 'sy_news_finance_10jqka_raw'}  消息处理总量:1条
2020-06-30 at 09:18:52 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_36kr_raw', 'spider_name': 'caijing_36kr_zixun', 'start_time': '1592821184', 'end_time': '1592821184'}  消息处理总量:1条
2020-06-30 at 09:18:53 | SUCCESS | 消息内容:{'spider_name': 'hangye_f139_news', 'collection_name': 'sy_news_hangye_f139_raw', 'end_time': '1592821212', 'start_time': '1592821212'}  消息处理总量:1条
2020-06-30 at 09:18:57 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastday_caijing', 'end_time': '1592821299', 'collection_name': 'sy_news_finance_eastday_raw', 'start_time': '1592821299'}  消息处理总量:1条
2020-06-30 at 09:18:58 | SUCCESS | 消息内容:{'start_time': '1592821243', 'spider_name': 'caijing_hexun_gsyw', 'end_time': '1592821247', 'collection_name': 'sy_news_finance_hexun_raw'}  消息处理总量:7条
2020-06-30 at 09:18:58 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_gncj', 'start_time': '1592821266', 'end_time': '1592821268'}  消息处理总量:4条
2020-06-30 at 09:19:00 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1592821327', 'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1592821327'}  消息处理总量:1条
2020-06-30 at 09:19:01 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_dcement_raw', 'spider_name': 'hangye_dcement_news', 'start_time': '1592821382', 'end_time': '1592821382'}  消息处理总量:1条
2020-06-30 at 09:19:03 | SUCCESS | 消息内容:{'start_time': '1592821354', 'spider_name': 'caijing_sina_ssgs', 'end_time': '1592821355', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:3条
2020-06-30 at 09:19:06 | SUCCESS | 消息内容:{'start_time': '1592821378', 'spider_name': 'caijing_eastmoney_cgnjj', 'end_time': '1592821378', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:1条
2020-06-30 at 09:19:07 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eeo_raw', 'spider_name': 'caijing_eeo_caijing', 'start_time': '1592821325', 'end_time': '1592821336'}  消息处理总量:2条
2020-06-30 at 09:19:08 | SUCCESS | 消息内容:{'spider_name': 'caijing_ifeng_hongguan', 'collection_name': 'sy_news_finance_ifeng_raw', 'end_time': '1592821374', 'start_time': '1592821373'}  消息处理总量:3条
2020-06-30 at 09:19:09 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_chinagas_raw', 'spider_name': 'hangye_chinagas_news', 'start_time': '1592821452', 'end_time': '1592821452'}  消息处理总量:1条
2020-06-30 at 09:19:10 | SUCCESS | 消息内容:{'start_time': '1592821373', 'spider_name': 'caijing_10jqka_cjyw', 'end_time': '1592821375', 'collection_name': 'sy_news_finance_10jqka_raw'}  消息处理总量:2条
2020-06-30 at 09:19:13 | SUCCESS | 消息内容:{'start_time': '1592821495', 'spider_name': 'hangye_smm_news', 'end_time': '1592821495', 'collection_name': 'sy_news_hangye_smm_raw'}  消息处理总量:1条
2020-06-30 at 09:19:14 | SUCCESS | 消息内容:{'spider_name': 'caijing_zhicheng_caijing', 'collection_name': 'sy_news_finance_zhicheng_raw', 'end_time': '1592821446', 'start_time': '1592821446'}  消息处理总量:1条
2020-06-30 at 09:19:16 | SUCCESS | 消息内容:{'start_time': '1592821483', 'spider_name': 'caijing_sina_guonei', 'end_time': '1592821483', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:1条
2020-06-30 at 09:19:17 | SUCCESS | 消息内容:{'spider_name': 'caijing_36kr_zixun', 'collection_name': 'sy_news_finance_36kr_raw', 'end_time': '1592821495', 'start_time': '1592821495'}  消息处理总量:1条
2020-06-30 at 09:19:19 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_huxiu_raw', 'spider_name': 'caijing_huxiu_zixun', 'start_time': '1592821442', 'end_time': '1592821453'}  消息处理总量:3条
2020-06-30 at 09:19:23 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_ganggu', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1592821587', 'start_time': '1592821585'}  消息处理总量:2条
2020-06-30 at 09:19:23 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_ss', 'start_time': '1592821604', 'end_time': '1592821604'}  消息处理总量:1条
2020-06-30 at 09:19:25 | SUCCESS | 消息内容:{'spider_name': 'caijing_cs_cjyw', 'end_time': '1592821555', 'collection_name': 'sy_news_finance_cs_raw', 'start_time': '1592821555'}  消息处理总量:1条
2020-06-30 at 09:19:25 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_iyiou_raw', 'spider_name': 'caijing_iyiou_kuaixun', 'start_time': '1592821613', 'end_time': '1592821613'}  消息处理总量:1条
2020-06-30 at 09:19:27 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_zsscdt', 'end_time': '1592821592', 'collection_name': 'sy_news_finance_sina_raw', 'start_time': '1592821592'}  消息处理总量:1条
