2020-08-18 at 09:17:01 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_chanjing', 'start_time': '1597376083', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1597376083'}  消息处理总量:1条
2020-08-18 at 09:17:42 | SUCCESS | 消息内容:{'spider_name': 'caijing_cyzone_zuixin', 'start_time': '1597376254', 'collection_name': 'sy_news_finance_cyzone_raw', 'end_time': '1597376254'}  消息处理总量:1条
2020-08-18 at 09:17:43 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_smm_raw', 'end_time': '1597376263', 'start_time': '1597376261', 'spider_name': 'caijing_smm_yaowen'}  消息处理总量:2条
2020-08-18 at 09:17:47 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_chinaautonews_raw', 'end_time': '1597376354', 'start_time': '1597376354', 'spider_name': 'hangye_chinaautonews_news'}  消息处理总量:1条
2020-08-18 at 09:17:49 | SUCCESS | 消息内容:{'start_time': '1597376333', 'spider_name': 'caijing_hexun_gsyw', 'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1597376333'}  消息处理总量:1条
2020-08-18 at 09:17:52 | SUCCESS | 消息内容:{'end_time': '1597376262', 'spider_name': 'caijing_eastmoney_stock_all', 'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1597376261'}  消息处理总量:2条
2020-08-18 at 09:17:55 | SUCCESS | 消息内容:{'end_time': '1597376395', 'spider_name': 'caijing_jrj_ss', 'start_time': '1597376388', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:0条
2020-08-18 at 09:17:59 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1597376358', 'start_time': '1597376357', 'spider_name': 'caijing_jrj_gncj'}  消息处理总量:3条
2020-08-18 at 09:18:01 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastday_caijing', 'end_time': '1597376370', 'collection_name': 'sy_news_finance_eastday_raw', 'start_time': '1597376369'}  消息处理总量:2条
2020-08-18 at 09:18:02 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_qq_raw', 'end_time': '1597376423', 'start_time': '1597376423', 'spider_name': 'caijing_qq_Agu'}  消息处理总量:1条
2020-08-18 at 09:18:06 | SUCCESS | 消息内容:{'start_time': '1597376334', 'spider_name': 'caijing_ocn_shichang', 'collection_name': 'sy_news_finance_ocn_raw', 'end_time': '1597376335'}  消息处理总量:2条
2020-08-18 at 09:18:11 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_stockstar_raw', 'end_time': '1597376429', 'start_time': '1597376426', 'spider_name': 'caijing_stockstar_gs'}  消息处理总量:7条
2020-08-18 at 09:18:23 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_leju_raw', 'end_time': '1597376436', 'start_time': '1597376365', 'spider_name': 'caijing_leju_lejucaijing_all'}  消息处理总量:4条
2020-08-18 at 09:18:27 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_china_raw', 'end_time': '1597376204', 'start_time': '1597376204', 'spider_name': 'caijing_china_chanjing'}  消息处理总量:1条
2020-08-18 at 09:18:29 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_gsxw', 'start_time': '1597376424', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1597376425'}  消息处理总量:6条
2020-08-18 at 09:18:30 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_caijing_raw', 'end_time': '1597376516', 'start_time': '1597376516', 'spider_name': 'caijing_caijing_industry'}  消息处理总量:1条
2020-08-18 at 09:18:34 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_southmoney_raw', 'end_time': '1597376543', 'start_time': '1597376543', 'spider_name': 'caijing_southmoney_caijingyaowen'}  消息处理总量:1条
2020-08-18 at 09:18:43 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_bjnews_raw', 'end_time': '1597376558', 'start_time': '1597376557', 'spider_name': 'caijing_bjnews_finance'}  消息处理总量:3条
2020-08-18 at 09:18:44 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1597376425', 'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1597376419'}  消息处理总量:14条
2020-08-18 at 09:18:44 | SUCCESS | 消息内容:{'start_time': '1597376503', 'spider_name': 'caijing_10jqka_zqzx', 'collection_name': 'sy_news_finance_10jqka_raw', 'end_time': '1597376503'}  消息处理总量:1条
2020-08-18 at 09:18:53 | SUCCESS | 消息内容:{'spider_name': 'caijing_36kr_zixun', 'start_time': '1597376585', 'collection_name': 'sy_news_finance_36kr_raw', 'end_time': '1597376585'}  消息处理总量:1条
2020-08-18 at 09:18:55 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1597376573', 'start_time': '1597376572', 'spider_name': 'caijing_sina_guonei'}  消息处理总量:3条
2020-08-18 at 09:19:04 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_smm_raw', 'end_time': '1597376564', 'start_time': '1597376564', 'spider_name': 'caijing_smm_yaowen'}  消息处理总量:1条
2020-08-18 at 09:19:05 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_hk_all', 'start_time': '1597376607', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1597376610'}  消息处理总量:2条
2020-08-18 at 09:19:08 | SUCCESS | 消息内容:{'start_time': '1597376646', 'spider_name': 'hangye_dcement_news', 'collection_name': 'sy_news_hangye_dcement_raw', 'end_time': '1597376646'}  消息处理总量:1条
2020-08-18 at 09:19:11 | SUCCESS | 消息内容:{'end_time': '1597376571', 'spider_name': 'caijing_lieyunwang_zixun', 'start_time': '1597376565', 'collection_name': 'sy_news_finance_lieyunwang_raw'}  消息处理总量:4条
2020-08-18 at 09:19:11 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_guandian_raw', 'end_time': '1597376597', 'start_time': '1597376573', 'spider_name': 'caijing_guandian_news_all'}  消息处理总量:3条
2020-08-18 at 09:19:19 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_blog_raw', 'end_time': '1597376645', 'start_time': '1597376645', 'spider_name': 'caijing_sina_blog'}  消息处理总量:1条
2020-08-18 at 09:19:24 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_21ic_raw', 'end_time': '1597376664', 'start_time': '1597376652', 'spider_name': 'caijing_21ic_tuijian'}  消息处理总量:3条
2020-08-18 at 09:19:25 | SUCCESS | 消息内容:{'start_time': '1597376645', 'spider_name': 'caijing_hexun_gsyw', 'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1597376649'}  消息处理总量:7条
2020-08-18 at 09:19:25 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_stock_all', 'end_time': '1597376640', 'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1597376632'}  消息处理总量:4条
2020-08-18 at 09:19:30 | SUCCESS | 消息内容:{'spider_name': 'hangye_cbcie_news', 'end_time': '1597376705', 'collection_name': 'sy_news_hangye_cbcie_raw', 'start_time': '1597376701'}  消息处理总量:2条
2020-08-18 at 09:19:30 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_ocn_raw', 'end_time': '1597376649', 'start_time': '1597376647', 'spider_name': 'caijing_ocn_shichang'}  消息处理总量:2条
2020-08-18 at 09:19:32 | SUCCESS | 消息内容:{'end_time': '1597376664', 'spider_name': 'caijing_yuncaijing_neican', 'collection_name': 'sy_news_finance_yuncaijing_raw', 'start_time': '1597376664'}  消息处理总量:1条
2020-08-18 at 09:19:36 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastday_raw', 'end_time': '1597376678', 'start_time': '1597376678', 'spider_name': 'caijing_eastday_caijing'}  消息处理总量:1条
2020-08-18 at 09:19:41 | SUCCESS | 消息内容:{'end_time': '1597376702', 'spider_name': 'caijing_sina_chanjing', 'collection_name': 'sy_news_finance_sina_raw', 'start_time': '1597376702'}  消息处理总量:1条
2020-08-18 at 09:19:50 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1597376824', 'start_time': '1597376824', 'spider_name': 'caijing_hexun_hongguan'}  消息处理总量:1条
2020-08-18 at 09:19:50 | SUCCESS | 消息内容:{'spider_name': 'caijing_cqnews_finance_all', 'end_time': '1597376529', 'collection_name': 'sy_news_finance_cqnews_raw', 'start_time': '1597376529'}  消息处理总量:1条
2020-08-18 at 09:19:52 | SUCCESS | 消息内容:{'spider_name': 'caijing_mysteel_zonghe_all', 'start_time': '1597376616', 'collection_name': 'sy_news_finance_mysteel_raw', 'end_time': '1597376663'}  消息处理总量:11条
2020-08-18 at 09:19:54 | SUCCESS | 消息内容:{'spider_name': 'hangye_smm_news', 'end_time': '1597376873', 'collection_name': 'sy_news_hangye_smm_raw', 'start_time': '1597376873'}  消息处理总量:1条
2020-08-18 at 09:19:56 | SUCCESS | 消息内容:{'spider_name': 'caijing_qianlong_jingji', 'start_time': '1597376795', 'collection_name': 'sy_news_finance_qianlong_raw', 'end_time': '1597376796'}  消息处理总量:2条
2020-08-18 at 09:19:58 | SUCCESS | 消息内容:{'end_time': '1597376727', 'spider_name': 'caijing_591hx_stock_all', 'collection_name': 'sy_news_finance_591hx_raw', 'start_time': '1597376727'}  消息处理总量:1条
2020-08-18 at 09:20:01 | SUCCESS | 消息内容:{'start_time': '1597376901', 'spider_name': 'hangye_bmlink_marketnews', 'collection_name': 'sy_news_hangye_bmlink_raw', 'end_time': '1597376901'}  消息处理总量:2条
2020-08-18 at 09:20:01 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_guonei', 'end_time': '1597376886', 'collection_name': 'sy_news_finance_sina_raw', 'start_time': '1597376886'}  消息处理总量:1条
2020-08-18 at 09:20:02 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1597376776', 'start_time': '1597376776', 'spider_name': 'caijing_eastmoney_jijin'}  消息处理总量:1条
2020-08-18 at 09:20:04 | SUCCESS | 消息内容:{'end_time': '1597376927', 'spider_name': 'caijing_jrj_xsb', 'start_time': '1597376927', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:0条
2020-08-18 at 09:20:05 | SUCCESS | 消息内容:{'spider_name': 'caijing_36kr_zixun', 'start_time': '1597376896', 'collection_name': 'sy_news_finance_36kr_raw', 'end_time': '1597376900'}  消息处理总量:2条
2020-08-18 at 09:20:05 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1597376953', 'start_time': '1597376953', 'spider_name': 'caijing_hexun_gsyw'}  消息处理总量:1条
2020-08-18 at 09:20:08 | SUCCESS | 消息内容:{'spider_name': 'caijing_cs_shichang', 'start_time': '1597376977', 'collection_name': 'sy_news_finance_cs_raw', 'end_time': '1597376977'}  消息处理总量:2条
2020-08-18 at 09:20:09 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1597376977', 'start_time': '1597376977', 'spider_name': 'caijing_jrj_gncj'}  消息处理总量:1条
2020-08-18 at 09:20:13 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_dramx_raw', 'end_time': '1597377005', 'start_time': '1597377005', 'spider_name': 'hangye_dramx_news'}  消息处理总量:1条
2020-08-18 at 09:20:14 | SUCCESS | 消息内容:{'end_time': '1597376968', 'spider_name': 'caijing_ccmn_yaowen', 'collection_name': 'sy_news_finance_ccmn_raw', 'start_time': '1597376964'}  消息处理总量:6条
2020-08-18 at 09:20:17 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_leju_raw', 'end_time': '1597376934', 'start_time': '1597376908', 'spider_name': 'caijing_leju_lejucaijing_all'}  消息处理总量:2条
2020-08-18 at 09:20:22 | SUCCESS | 消息内容:{'spider_name': 'caijing_cnfol_gncj', 'end_time': '1597376992', 'start_time': '1597376992', 'collection_name': 'sy_news_finance_cnfol_raw'}  消息处理总量:1条
2020-08-18 at 09:20:23 | SUCCESS | 消息内容:{'start_time': '1597376927', 'spider_name': 'caijing_chinaventure_zbsc', 'collection_name': 'sy_news_finance_chinaventure_raw', 'end_time': '1597376957'}  消息处理总量:2条
2020-08-18 at 09:20:33 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_stock_all', 'start_time': '1597377000', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1597377000'}  消息处理总量:1条
2020-08-18 at 09:20:38 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastday_caijing', 'end_time': '1597377005', 'start_time': '1597376985', 'collection_name': 'sy_news_finance_eastday_raw'}  消息处理总量:10条
2020-08-18 at 09:20:38 | SUCCESS | 消息内容:{'spider_name': 'caijing_jrj_chanjing', 'start_time': '1597377107', 'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1597377107'}  消息处理总量:1条
2020-08-18 at 09:20:42 | SUCCESS | 消息内容:{'end_time': '1597377104', 'spider_name': 'caijing_cnstock_stock_all', 'collection_name': 'sy_news_finance_cnstock_raw', 'start_time': '1597377104'}  消息处理总量:2条
2020-08-18 at 09:20:44 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jiemian_raw', 'end_time': '1597377005', 'start_time': '1597377004', 'spider_name': 'caijing_jiemian_jt'}  消息处理总量:3条
2020-08-18 at 09:20:48 | SUCCESS | 消息内容:{'end_time': '1597377133', 'spider_name': 'caijing_hexun_hongguan', 'collection_name': 'sy_news_finance_hexun_raw', 'start_time': '1597377133'}  消息处理总量:1条
2020-08-18 at 09:20:49 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_gucheng_raw', 'end_time': '1597377133', 'start_time': '1597377133', 'spider_name': 'caijing_gucheng_gundong'}  消息处理总量:1条
2020-08-18 at 09:20:52 | SUCCESS | 消息内容:{'spider_name': 'caijing_guandian_news_all', 'end_time': '1597377116', 'start_time': '1597377116', 'collection_name': 'sy_news_finance_guandian_raw'}  消息处理总量:1条
2020-08-18 at 09:20:53 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_cbminfo_raw', 'end_time': '1597377162', 'start_time': '1597377162', 'spider_name': 'hangye_cbminfo_news'}  消息处理总量:1条
2020-08-18 at 09:20:53 | SUCCESS | 消息内容:{'start_time': '1597377115', 'spider_name': 'caijing_zhicheng_caijing', 'collection_name': 'sy_news_finance_zhicheng_raw', 'end_time': '1597377121'}  消息处理总量:4条
2020-08-18 at 09:20:55 | SUCCESS | 消息内容:{'end_time': '1597377184', 'spider_name': 'hangye_eefocus_news', 'start_time': '1597377184', 'collection_name': 'sy_news_hangye_eefocus_raw'}  消息处理总量:1条
2020-08-18 at 09:21:02 | SUCCESS | 消息内容:{'spider_name': 'caijing_36kr_zixun', 'end_time': '1597377204', 'collection_name': 'sy_news_finance_36kr_raw', 'start_time': '1597377203'}  消息处理总量:2条
2020-08-18 at 09:21:06 | SUCCESS | 消息内容:{'end_time': '1597377184', 'spider_name': 'caijing_smm_yaowen', 'start_time': '1597377184', 'collection_name': 'sy_news_finance_smm_raw'}  消息处理总量:1条
2020-08-18 at 09:21:08 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_southmoney_raw', 'end_time': '1597377157', 'start_time': '1597377155', 'spider_name': 'caijing_southmoney_caijingyaowen'}  消息处理总量:2条
2020-08-18 at 09:21:20 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1597377264', 'start_time': '1597377263', 'spider_name': 'caijing_hexun_gsyw'}  消息处理总量:2条
2020-08-18 at 09:21:21 | SUCCESS | 消息内容:{'spider_name': 'caijing_cyzone_zuixin', 'start_time': '1597377167', 'collection_name': 'sy_news_finance_cyzone_raw', 'end_time': '1597377171'}  消息处理总量:3条
2020-08-18 at 09:21:27 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_blog', 'start_time': '1597377259', 'collection_name': 'sy_news_finance_sina_blog_raw', 'end_time': '1597377259'}  消息处理总量:1条
2020-08-18 at 09:21:43 | SUCCESS | 消息内容:{'spider_name': 'hangye_bjx_yaowen', 'start_time': '1597377336', 'collection_name': 'sy_news_hangye_bjx_raw', 'end_time': '1597377341'}  消息处理总量:5条
2020-08-18 at 09:21:45 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_winshang_raw', 'end_time': '1597377188', 'start_time': '1597377180', 'spider_name': 'caijing_winshang_yaowen_all'}  消息处理总量:4条
2020-08-18 at 09:21:52 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_chanjing', 'start_time': '1597377324', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1597377324'}  消息处理总量:1条
2020-08-18 at 09:21:54 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastday_raw', 'end_time': '1597377305', 'start_time': '1597377300', 'spider_name': 'caijing_eastday_caijing'}  消息处理总量:2条
2020-08-18 at 09:21:57 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_bjx_raw', 'end_time': '1597377365', 'start_time': '1597377365', 'spider_name': 'caijing_bjx_yaowen'}  消息处理总量:1条
2020-08-18 at 09:22:04 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1597377385', 'start_time': '1597377385', 'spider_name': 'caijing_eastmoney_stock_all'}  消息处理总量:1条
2020-08-18 at 09:22:05 | SUCCESS | 消息内容:{'start_time': '1597377347', 'spider_name': 'caijing_eastmoney_ccjxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1597377350'}  消息处理总量:4条
2020-08-18 at 09:22:09 | SUCCESS | 消息内容:{'spider_name': 'caijing_163_gupiao', 'start_time': '1597377425', 'collection_name': 'sy_news_finance_163_raw', 'end_time': '1597377425'}  消息处理总量:1条
2020-08-18 at 09:22:11 | SUCCESS | 消息内容:{'end_time': '1597377266', 'spider_name': 'hangye_mining120_guonei', 'start_time': '1597377253', 'collection_name': 'sy_news_hangye_mining120_raw'}  消息处理总量:23条
2020-08-18 at 09:22:13 | SUCCESS | 消息内容:{'spider_name': 'caijing_qianlong_jingji', 'start_time': '1597377402', 'collection_name': 'sy_news_finance_qianlong_raw', 'end_time': '1597377406'}  消息处理总量:2条
2020-08-18 at 09:22:16 | SUCCESS | 消息内容:{'spider_name': 'hangye_smm_news', 'end_time': '1597377483', 'start_time': '1597377483', 'collection_name': 'sy_news_hangye_smm_raw'}  消息处理总量:1条
2020-08-18 at 09:22:21 | SUCCESS | 消息内容:{'spider_name': 'caijing_stcn_gs', 'start_time': '1597377465', 'collection_name': 'sy_news_finance_stcn_raw', 'end_time': '1597377465'}  消息处理总量:2条
2020-08-18 at 09:22:21 | SUCCESS | 消息内容:{'spider_name': 'hangye_bmlink_marketnews', 'end_time': '1597377516', 'start_time': '1597377516', 'collection_name': 'sy_news_hangye_bmlink_raw'}  消息处理总量:1条
2020-08-18 at 09:22:25 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_mining120_raw', 'end_time': '1597377438', 'start_time': '1597377433', 'spider_name': 'hangye_mining120_guoji'}  消息处理总量:7条
2020-08-18 at 09:22:25 | SUCCESS | 消息内容:{'start_time': '1597377503', 'spider_name': 'caijing_sina_guonei', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1597377503'}  消息处理总量:1条
2020-08-18 at 09:22:25 | SUCCESS | 消息内容:{'end_time': '1597377531', 'spider_name': 'caijing_leju_lejucaijing_all', 'start_time': '1597377517', 'collection_name': 'sy_news_finance_leju_raw'}  消息处理总量:2条
2020-08-18 at 09:22:28 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1597377546', 'start_time': '1597377546', 'spider_name': 'caijing_jrj_xsb'}  消息处理总量:0条
2020-08-18 at 09:22:30 | SUCCESS | 消息内容:{'end_time': '1597377538', 'spider_name': 'caijing_cnal_hyjj', 'start_time': '1597377534', 'collection_name': 'sy_news_finance_cnal_raw'}  消息处理总量:2条
2020-08-18 at 09:22:33 | SUCCESS | 消息内容:{'end_time': '1597377573', 'spider_name': 'caijing_hexun_gsyw', 'start_time': '1597377573', 'collection_name': 'sy_news_finance_hexun_raw'}  消息处理总量:1条
2020-08-18 at 09:22:36 | SUCCESS | 消息内容:{'end_time': '1597377582', 'spider_name': 'caijing_ccmn_yaowen', 'collection_name': 'sy_news_finance_ccmn_raw', 'start_time': '1597377575'}  消息处理总量:2条
2020-08-18 at 09:22:37 | SUCCESS | 消息内容:{'spider_name': 'caijing_jiemian_dichan', 'start_time': '1597377544', 'collection_name': 'sy_news_finance_jiemian_raw', 'end_time': '1597377545'}  消息处理总量:3条
2020-08-18 at 09:22:47 | SUCCESS | 消息内容:{'start_time': '1597377586', 'spider_name': 'caijing_cs_shichang', 'collection_name': 'sy_news_finance_cs_raw', 'end_time': '1597377589'}  消息处理总量:6条
2020-08-18 at 09:22:52 | SUCCESS | 消息内容:{'spider_name': 'hangye_ofweek_led', 'start_time': '1597377612', 'collection_name': 'sy_news_hangye_ofweek_raw', 'end_time': '1597377612'}  消息处理总量:1条
2020-08-18 at 09:22:52 | SUCCESS | 消息内容:{'end_time': '1597377563', 'spider_name': 'caijing_sina_blog', 'start_time': '1597377560', 'collection_name': 'sy_news_finance_sina_blog_raw'}  消息处理总量:2条
2020-08-18 at 09:22:55 | SUCCESS | 消息内容:{'start_time': '1597377574', 'spider_name': 'caijing_cs_cjyw', 'collection_name': 'sy_news_finance_cs_raw', 'end_time': '1597377574'}  消息处理总量:1条
2020-08-18 at 09:22:56 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_mysteel_raw', 'end_time': '1597377572', 'start_time': '1597377524', 'spider_name': 'caijing_mysteel_zonghe_all'}  消息处理总量:6条
2020-08-18 at 09:22:58 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_yuncaijing_raw', 'end_time': '1597377594', 'start_time': '1597377594', 'spider_name': 'caijing_yuncaijing_neican'}  消息处理总量:1条
2020-08-18 at 09:23:00 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1597377626', 'start_time': '1597377626', 'spider_name': 'caijing_jrj_ss'}  消息处理总量:0条
2020-08-18 at 09:23:03 | SUCCESS | 消息内容:{'end_time': '1597377597', 'spider_name': 'caijing_jrj_gncj', 'start_time': '1597377595', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:5条
2020-08-18 at 09:23:04 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1597377632', 'start_time': '1597377632', 'spider_name': 'caijing_sina_chanjing'}  消息处理总量:1条
2020-08-18 at 09:23:07 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_ganggu', 'start_time': '1597377605', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1597377605'}  消息处理总量:1条
2020-08-18 at 09:23:08 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_zsscdt', 'end_time': '1597377588', 'collection_name': 'sy_news_finance_sina_raw', 'start_time': '1597377588'}  消息处理总量:1条
2020-08-18 at 09:23:19 | SUCCESS | 消息内容:{'end_time': '1597377670', 'spider_name': 'caijing_cnstock_news_all', 'start_time': '1597377662', 'collection_name': 'sy_news_finance_cnstock_raw'}  消息处理总量:6条
2020-08-18 at 09:23:19 | SUCCESS | 消息内容:{'start_time': '1597377659', 'spider_name': 'caijing_eastmoney_ccjxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1597377662'}  消息处理总量:7条
2020-08-18 at 09:23:21 | SUCCESS | 消息内容:{'end_time': '1597377637', 'spider_name': 'caijing_iyiou_kuaixun', 'collection_name': 'sy_news_finance_iyiou_raw', 'start_time': '1597377637'}  消息处理总量:1条
2020-08-18 at 09:23:23 | SUCCESS | 消息内容:{'end_time': '1597377714', 'spider_name': 'caijing_caijing_industry', 'start_time': '1597377714', 'collection_name': 'sy_news_finance_caijing_raw'}  消息处理总量:1条
