2020-06-02 at 16:46:41 | SUCCESS | 消息内容:{'start_time': '1591087592', 'spider_name': 'caijing_cb_chanye', 'end_time': '1591087592', 'collection_name': 'sy_news_finance_cb_raw'}  消息处理总量:1条
2020-06-02 at 16:50:49 | SUCCESS | 消息内容:{'start_time': '1591087855', 'spider_name': 'caijing_eastmoney_caijing', 'end_time': '1591087855', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:2条
2020-06-02 at 16:51:29 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1591087857', 'spider_name': 'caijing_eastmoney_ccjxw', 'start_time': '1591087778'}  消息处理总量:68条
2020-06-02 at 16:52:08 | SUCCESS | 消息内容:{'start_time': '1591087932', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1591087932', 'spider_name': 'caijing_sina_guonei'}  消息处理总量:1条
2020-06-02 at 16:52:29 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_autohome_raw', 'spider_name': 'hangye_autohome_news', 'end_time': '1591087972', 'start_time': '1591087972'}  消息处理总量:1条
2020-06-02 at 16:53:22 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cnfol_raw', 'end_time': '1591088006', 'start_time': '1591088003', 'spider_name': 'caijing_cnfol_gegu'}  消息处理总量:6条
2020-06-02 at 16:53:27 | SUCCESS | 消息内容:{'start_time': '1591088005', 'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1591088008', 'spider_name': 'caijing_hexun_gsyw'}  消息处理总量:8条
2020-06-02 at 16:53:40 | SUCCESS | 消息内容:{'start_time': '1591088025', 'spider_name': 'caijing_jrj_gncj', 'end_time': '1591088026', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:3条
2020-06-02 at 16:53:46 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_ocn_raw', 'end_time': '1591088008', 'spider_name': 'caijing_ocn_shichang', 'start_time': '1591088004'}  消息处理总量:2条
2020-06-02 at 16:53:48 | SUCCESS | 消息内容:{'start_time': '1591088034', 'spider_name': 'caijing_cls_shendu', 'end_time': '1591088034', 'collection_name': 'sy_news_finance_cls_raw'}  消息处理总量:1条
2020-06-02 at 16:53:49 | SUCCESS | 消息内容:{'start_time': '1591088034', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1591088035', 'spider_name': 'caijing_eastmoney_ganggu'}  消息处理总量:2条
2020-06-02 at 16:54:00 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_hqew_raw', 'end_time': '1591088055', 'spider_name': 'hangye_hqew_news', 'start_time': '1591088055'}  消息处理总量:1条
2020-06-02 at 16:54:18 | SUCCESS | 消息内容:{'start_time': '1591088056', 'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1591088058', 'spider_name': 'caijing_jrj_ss'}  消息处理总量:5条
2020-06-02 at 16:54:18 | SUCCESS | 消息内容:{'start_time': '1591088062', 'spider_name': 'caijing_sina_chanjing', 'end_time': '1591088062', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:1条
2020-06-02 at 16:54:48 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_iyiou_raw', 'end_time': '1591088062', 'spider_name': 'caijing_iyiou_kuaixun', 'start_time': '1591088062'}  消息处理总量:1条
2020-06-02 at 16:55:03 | SUCCESS | 消息内容:{'start_time': '1591088086', 'collection_name': 'sy_news_finance_10jqka_raw', 'end_time': '1591088094', 'spider_name': 'caijing_10jqka_hyyj'}  消息处理总量:2条
2020-06-02 at 16:55:08 | SUCCESS | 消息内容:{'start_time': '1591088114', 'spider_name': 'caijing_sina_ssgs', 'end_time': '1591088114', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:2条
2020-06-02 at 16:55:26 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_thecapital_raw', 'end_time': '1591088122', 'spider_name': 'caijing_thecapital_zixun', 'start_time': '1591088084'}  消息处理总量:2条
2020-06-02 at 16:55:43 | SUCCESS | 消息内容:{'start_time': '1591088138', 'spider_name': 'caijing_eastmoney_cgnjj', 'end_time': '1591088141', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:6条
2020-06-02 at 16:55:43 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_huxiu_raw', 'end_time': '1591088134', 'spider_name': 'caijing_huxiu_zixun', 'start_time': '1591088134'}  消息处理总量:2条
2020-06-02 at 16:55:46 | SUCCESS | 消息内容:{'start_time': '1591088088', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1591088137', 'spider_name': 'caijing_eastmoney_ccjxw'}  消息处理总量:21条
2020-06-02 at 16:56:05 | SUCCESS | 消息内容:{'start_time': '1591088165', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1591088167', 'spider_name': 'caijing_eastmoney_caijing'}  消息处理总量:5条
2020-06-02 at 16:56:13 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_yicai_raw', 'spider_name': 'caijing_yicai_Agu', 'end_time': '1591088176', 'start_time': '1591088176'}  消息处理总量:1条
2020-06-02 at 16:56:30 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1591088128', 'start_time': '1591088123', 'spider_name': 'caijing_sina_zsscdt'}  消息处理总量:4条
2020-06-02 at 16:57:20 | SUCCESS | 消息内容:{'start_time': '1591088241', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1591088242', 'spider_name': 'caijing_sina_guonei'}  消息处理总量:2条
2020-06-02 at 16:57:59 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jiemian_raw', 'spider_name': 'caijing_jiemian_hg', 'end_time': '1591088283', 'start_time': '1591088283'}  消息处理总量:1条
2020-06-02 at 16:58:01 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_investorchina_raw', 'end_time': '1591088236', 'start_time': '1591088236', 'spider_name': 'caijing_investorchina_scgz'}  消息处理总量:1条
2020-06-02 at 16:58:09 | SUCCESS | 消息内容:{'start_time': '1591088275', 'collection_name': 'sy_news_finance_36kr_raw', 'end_time': '1591088275', 'spider_name': 'caijing_36kr_zixun'}  消息处理总量:1条
2020-06-02 at 16:58:38 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_gsyw', 'end_time': '1591088322', 'start_time': '1591088313'}  消息处理总量:8条
2020-06-02 at 16:58:41 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_ocn_raw', 'end_time': '1591088317', 'start_time': '1591088316', 'spider_name': 'caijing_ocn_shichang'}  消息处理总量:2条
2020-06-02 at 16:58:50 | SUCCESS | 消息内容:{'start_time': '1591088316', 'collection_name': 'sy_news_finance_cs_raw', 'end_time': '1591088316', 'spider_name': 'caijing_cs_cjyw'}  消息处理总量:1条
2020-06-02 at 16:58:57 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cyzone_raw', 'spider_name': 'caijing_cyzone_zuixin', 'end_time': '1591088316', 'start_time': '1591088316'}  消息处理总量:1条
2020-06-02 at 16:58:58 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_bmlink_raw', 'end_time': '1591088362', 'start_time': '1591088362', 'spider_name': 'hangye_bmlink_marketnews'}  消息处理总量:1条
2020-06-02 at 16:59:08 | SUCCESS | 消息内容:{'start_time': '1591088354', 'collection_name': 'sy_news_finance_yicai_raw', 'end_time': '1591088354', 'spider_name': 'caijing_yicai_dz'}  消息处理总量:1条
2020-06-02 at 16:59:33 | SUCCESS | 消息内容:{'start_time': '1591088344', 'spider_name': 'caijing_eastday_caijing', 'end_time': '1591088344', 'collection_name': 'sy_news_finance_eastday_raw'}  消息处理总量:1条
2020-06-02 at 17:00:12 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1591088409', 'start_time': '1591088396', 'spider_name': 'caijing_eastmoney_ccjxw'}  消息处理总量:17条
2020-06-02 at 17:00:38 | SUCCESS | 消息内容:{'start_time': '1591088463', 'collection_name': 'sy_news_hangye_opticsky_raw', 'end_time': '1591088463', 'spider_name': 'hangye_opticsky_news'}  消息处理总量:1条
2020-06-02 at 17:01:11 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_smm_raw', 'spider_name': 'hangye_smm_news', 'end_time': '1591088496', 'start_time': '1591088494'}  消息处理总量:4条
2020-06-02 at 17:01:36 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1591088495', 'start_time': '1591088495', 'spider_name': 'caijing_hexun_hongguan'}  消息处理总量:1条
2020-06-02 at 17:02:10 | SUCCESS | 消息内容:{'start_time': '1591088512', 'collection_name': 'sy_news_finance_10jqka_raw', 'end_time': '1591088512', 'spider_name': 'caijing_10jqka_cjyw'}  消息处理总量:1条
2020-06-02 at 17:02:28 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_guonei', 'end_time': '1591088551', 'start_time': '1591088551'}  消息处理总量:1条
2020-06-02 at 17:02:47 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_591hx_raw', 'end_time': '1591088540', 'spider_name': 'caijing_591hx_scjh', 'start_time': '1591088531'}  消息处理总量:5条
2020-06-02 at 17:02:48 | SUCCESS | 消息内容:{'start_time': '1591088574', 'collection_name': 'sy_news_finance_163_raw', 'end_time': '1591088574', 'spider_name': 'caijing_163_gupiao'}  消息处理总量:1条
2020-06-02 at 17:03:09 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_stcn_raw', 'spider_name': 'caijing_stcn_gs', 'end_time': '1591088594', 'start_time': '1591088594'}  消息处理总量:1条
2020-06-02 at 17:03:36 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cnfol_raw', 'end_time': '1591088619', 'spider_name': 'caijing_cnfol_gegu', 'start_time': '1591088612'}  消息处理总量:8条
2020-06-02 at 17:03:47 | SUCCESS | 消息内容:{'start_time': '1591088622', 'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1591088627', 'spider_name': 'caijing_hexun_gsyw'}  消息处理总量:9条
2020-06-02 at 17:04:06 | SUCCESS | 消息内容:{'start_time': '1591088623', 'spider_name': 'caijing_ocn_shichang', 'end_time': '1591088629', 'collection_name': 'sy_news_finance_ocn_raw'}  消息处理总量:4条
2020-06-02 at 17:04:10 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1591088595', 'start_time': '1591088595', 'spider_name': 'caijing_jrj_xsb'}  消息处理总量:1条
2020-06-02 at 17:04:23 | SUCCESS | 消息内容:{'start_time': '1591088655', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1591088663', 'spider_name': 'caijing_eastmoney_ganggu'}  消息处理总量:11条
2020-06-02 at 17:04:47 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastday_raw', 'end_time': '1591088658', 'start_time': '1591088655', 'spider_name': 'caijing_eastday_caijing'}  消息处理总量:7条
2020-06-02 at 17:04:57 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_ss', 'end_time': '1591088682', 'start_time': '1591088674'}  消息处理总量:10条
2020-06-02 at 17:05:22 | SUCCESS | 消息内容:{'start_time': '1591088713', 'collection_name': 'sy_news_finance_eeo_raw', 'end_time': '1591088721', 'spider_name': 'caijing_eeo_caijing'}  消息处理总量:3条
2020-06-02 at 17:05:34 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_thecapital_raw', 'spider_name': 'caijing_thecapital_zixun', 'end_time': '1591088663', 'start_time': '1591088663'}  消息处理总量:1条
2020-06-02 at 17:06:18 | SUCCESS | 消息内容:{'start_time': '1591088804', 'collection_name': 'sy_news_hangye_bjx_raw', 'end_time': '1591088805', 'spider_name': 'hangye_bjx_yaowen'}  消息处理总量:2条
2020-06-02 at 17:06:21 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1591088734', 'spider_name': 'caijing_eastmoney_ccjxw', 'start_time': '1591088707'}  消息处理总量:32条
2020-06-02 at 17:06:25 | SUCCESS | 消息内容:{'start_time': '1591088785', 'spider_name': 'caijing_eastmoney_caijing', 'end_time': '1591088787', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:5条
2020-06-02 at 17:06:33 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1591088735', 'start_time': '1591088735', 'spider_name': 'caijing_sina_zsscdt'}  消息处理总量:1条
2020-06-02 at 17:06:48 | SUCCESS | 消息内容:{'start_time': '1591088806', 'collection_name': 'sy_news_finance_stockstar_raw', 'end_time': '1591088814', 'spider_name': 'caijing_stockstar_gs'}  消息处理总量:3条
2020-06-02 at 17:06:59 | SUCCESS | 消息内容:{'start_time': '1591088823', 'spider_name': 'caijing_jiemian_xiaofei', 'end_time': '1591088823', 'collection_name': 'sy_news_finance_jiemian_raw'}  消息处理总量:1条
2020-06-02 at 17:07:48 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1591088863', 'spider_name': 'caijing_sina_guonei', 'start_time': '1591088863'}  消息处理总量:1条
2020-06-02 at 17:08:04 | SUCCESS | 消息内容:{'start_time': '1591088874', 'collection_name': 'sy_news_finance_36kr_raw', 'end_time': '1591088874', 'spider_name': 'caijing_36kr_zixun'}  消息处理总量:1条
2020-06-02 at 17:08:08 | SUCCESS | 消息内容:{'start_time': '1591088895', 'spider_name': 'caijing_bjnews_finance', 'end_time': '1591088896', 'collection_name': 'sy_news_finance_bjnews_raw'}  消息处理总量:2条
2020-06-02 at 17:08:24 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_10jqka_raw', 'end_time': '1591088875', 'spider_name': 'caijing_10jqka_zqzx', 'start_time': '1591088874'}  消息处理总量:2条
2020-06-02 at 17:08:49 | SUCCESS | 消息内容:{'start_time': '1591088921', 'collection_name': 'sy_news_finance_southmoney_raw', 'end_time': '1591088921', 'spider_name': 'caijing_southmoney_caijingyaowen'}  消息处理总量:1条
2020-06-02 at 17:08:59 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_gsyw', 'end_time': '1591088941', 'start_time': '1591088933'}  消息处理总量:11条
2020-06-02 at 17:09:15 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_ocn_raw', 'end_time': '1591088935', 'start_time': '1591088933', 'spider_name': 'caijing_ocn_shichang'}  消息处理总量:2条
2020-06-02 at 17:09:25 | SUCCESS | 消息内容:{'start_time': '1591088965', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1591088967', 'spider_name': 'caijing_eastmoney_ganggu'}  消息处理总量:5条
2020-06-02 at 17:09:48 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastday_raw', 'spider_name': 'caijing_eastday_caijing', 'end_time': '1591088971', 'start_time': '1591088967'}  消息处理总量:4条
2020-06-02 at 17:09:48 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1591088991', 'spider_name': 'caijing_sina_chanjing', 'start_time': '1591088991'}  消息处理总量:1条
2020-06-02 at 17:10:44 | SUCCESS | 消息内容:{'start_time': '1591089045', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1591089046', 'spider_name': 'caijing_sina_ssgs'}  消息处理总量:4条
2020-06-02 at 17:10:52 | SUCCESS | 消息内容:{'start_time': '1591089042', 'spider_name': 'caijing_huxiu_zixun', 'end_time': '1591089046', 'collection_name': 'sy_news_finance_huxiu_raw'}  消息处理总量:4条
2020-06-02 at 17:11:14 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1591089075', 'spider_name': 'caijing_eastmoney_cgnjj', 'start_time': '1591089068'}  消息处理总量:8条
2020-06-02 at 17:11:18 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_smm_raw', 'spider_name': 'hangye_smm_news', 'end_time': '1591089102', 'start_time': '1591089102'}  消息处理总量:1条
2020-06-02 at 17:11:34 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1591089095', 'spider_name': 'caijing_eastmoney_caijing', 'start_time': '1591089094'}  消息处理总量:3条
2020-06-02 at 17:11:48 | SUCCESS | 消息内容:{'start_time': '1591089018', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1591089080', 'spider_name': 'caijing_eastmoney_ccjxw'}  消息处理总量:66条
2020-06-02 at 17:11:49 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_china_raw', 'spider_name': 'caijing_china_hg', 'end_time': '1591089115', 'start_time': '1591089115'}  消息处理总量:1条
2020-06-02 at 17:11:50 | SUCCESS | 消息内容:{'start_time': '1591089133', 'collection_name': 'sy_news_hangye_ledinside_raw', 'end_time': '1591089133', 'spider_name': 'hangye_ledinside_news'}  消息处理总量:1条
2020-06-02 at 17:11:51 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1591089113', 'start_time': '1591089112', 'spider_name': 'caijing_hexun_hongguan'}  消息处理总量:3条
2020-06-02 at 17:13:46 | SUCCESS | 消息内容:{'start_time': '1591089222', 'collection_name': 'sy_news_finance_cnfol_raw', 'end_time': '1591089230', 'spider_name': 'caijing_cnfol_gegu'}  消息处理总量:5条
2020-06-02 at 17:13:59 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cls_raw', 'spider_name': 'caijing_cls_shendu', 'end_time': '1591089233', 'start_time': '1591089232'}  消息处理总量:3条
2020-06-02 at 17:14:15 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1591089253', 'spider_name': 'caijing_hexun_gsyw', 'start_time': '1591089243'}  消息处理总量:13条
2020-06-02 at 17:14:29 | SUCCESS | 消息内容:{'start_time': '1591089275', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1591089275', 'spider_name': 'caijing_eastmoney_ganggu'}  消息处理总量:2条
2020-06-02 at 17:14:50 | SUCCESS | 消息内容:{'start_time': '1591089273', 'spider_name': 'caijing_eastmoney_zqzx', 'end_time': '1591089282', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:5条
2020-06-02 at 17:15:14 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_iyiou_raw', 'end_time': '1591089303', 'start_time': '1591089303', 'spider_name': 'caijing_iyiou_kuaixun'}  消息处理总量:1条
2020-06-02 at 17:15:34 | SUCCESS | 消息内容:{'start_time': '1591089327', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1591089333', 'spider_name': 'caijing_eastmoney_ccjxw'}  消息处理总量:10条
2020-06-02 at 17:15:49 | SUCCESS | 消息内容:{'start_time': '1591089354', 'spider_name': 'caijing_sina_ssgs', 'end_time': '1591089355', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:2条
2020-06-02 at 17:16:29 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1591089394', 'start_time': '1591089394', 'spider_name': 'caijing_jrj_chanjing'}  消息处理总量:1条
2020-06-02 at 17:17:19 | SUCCESS | 消息内容:{'start_time': '1591089443', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1591089443', 'spider_name': 'caijing_sina_kcb'}  消息处理总量:1条
2020-06-02 at 17:17:40 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_zhicheng_raw', 'spider_name': 'caijing_zhicheng_caijing', 'end_time': '1591089455', 'start_time': '1591089454'}  消息处理总量:2条
2020-06-02 at 17:17:52 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_mining120_raw', 'end_time': '1591089496', 'start_time': '1591089493', 'spider_name': 'hangye_mining120_guoji'}  消息处理总量:6条
2020-06-02 at 17:18:08 | SUCCESS | 消息内容:{'start_time': '1591089482', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1591089483', 'spider_name': 'caijing_sina_guonei'}  消息处理总量:3条
2020-06-02 at 17:18:48 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_southmoney_raw', 'spider_name': 'caijing_southmoney_caijingyaowen', 'end_time': '1591089522', 'start_time': '1591089522'}  消息处理总量:1条
2020-06-02 at 17:19:15 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1591089553', 'start_time': '1591089553', 'spider_name': 'caijing_hexun_gsyw'}  消息处理总量:1条
2020-06-02 at 17:20:12 | SUCCESS | 消息内容:{'start_time': '1591089584', 'collection_name': 'sy_news_finance_eastday_raw', 'end_time': '1591089610', 'spider_name': 'caijing_eastday_caijing'}  消息处理总量:3条
2020-06-02 at 17:20:51 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_ofweek_raw', 'end_time': '1591089672', 'spider_name': 'hangye_ofweek_led', 'start_time': '1591089672'}  消息处理总量:1条
2020-06-02 at 17:20:54 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1591089650', 'start_time': '1591089637'}  消息处理总量:16条
2020-06-02 at 17:20:59 | SUCCESS | 消息内容:{'start_time': '1591089664', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1591089664', 'spider_name': 'caijing_sina_ssgs'}  消息处理总量:1条
2020-06-02 at 17:22:04 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_caijing', 'end_time': '1591089721', 'start_time': '1591089714'}  消息处理总量:12条
2020-06-02 at 17:23:00 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_hbzhan_raw', 'end_time': '1591089804', 'start_time': '1591089804', 'spider_name': 'hangye_hbzhan_news'}  消息处理总量:1条
2020-06-02 at 17:23:04 | SUCCESS | 消息内容:{'start_time': '1591089785', 'collection_name': 'sy_news_finance_cs_raw', 'end_time': '1591089787', 'spider_name': 'caijing_cs_gsxw'}  消息处理总量:4条
2020-06-02 at 17:23:37 | SUCCESS | 消息内容:{'start_time': '1591089804', 'spider_name': 'caijing_36kr_zixun', 'end_time': '1591089804', 'collection_name': 'sy_news_finance_36kr_raw'}  消息处理总量:1条
2020-06-02 at 17:24:12 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cnfol_raw', 'end_time': '1591089850', 'spider_name': 'caijing_cnfol_gegu', 'start_time': '1591089835'}  消息处理总量:16条
2020-06-02 at 17:24:14 | SUCCESS | 消息内容:{'start_time': '1591089774', 'collection_name': 'sy_news_finance_wabei_raw', 'end_time': '1591089775', 'spider_name': 'caijing_wabei_chanye'}  消息处理总量:2条
2020-06-02 at 17:24:23 | SUCCESS | 消息内容:{'start_time': '1591089842', 'spider_name': 'caijing_cls_shendu', 'end_time': '1591089842', 'collection_name': 'sy_news_finance_cls_raw'}  消息处理总量:1条
2020-06-02 at 17:24:42 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1591089878', 'start_time': '1591089863', 'spider_name': 'caijing_hexun_gsyw'}  消息处理总量:21条
2020-06-02 at 17:24:56 | SUCCESS | 消息内容:{'start_time': '1591089894', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1591089898', 'spider_name': 'caijing_eastmoney_ganggu'}  消息处理总量:7条
2020-06-02 at 17:25:18 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_ss', 'end_time': '1591089916', 'start_time': '1591089916'}  消息处理总量:1条
2020-06-02 at 17:25:19 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1591089922', 'start_time': '1591089922', 'spider_name': 'caijing_sina_chanjing'}  消息处理总量:1条
2020-06-02 at 17:25:33 | SUCCESS | 消息内容:{'start_time': '1591089901', 'collection_name': 'sy_news_finance_eastday_raw', 'end_time': '1591089901', 'spider_name': 'caijing_eastday_caijing'}  消息处理总量:1条
