2020-09-01 at 09:22:53 | SUCCESS | 消息内容:{'end_time': '1598923286', 'start_time': '1598923286', 'spider_name': 'caijing_eastmoney_gsxw', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:1条
2020-09-01 at 09:26:10 | SUCCESS | 消息内容:{'end_time': '1598923595', 'start_time': '1598923595', 'spider_name': 'caijing_jrj_gncj', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:1条
2020-09-01 at 09:26:38 | SUCCESS | 消息内容:{'end_time': '1598923610', 'spider_name': 'caijing_eccn_zxzx', 'start_time': '1598923609', 'collection_name': 'sy_news_finance_eccn_raw'}  消息处理总量:3条
2020-09-01 at 09:26:40 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_zhiding_raw', 'spider_name': 'caijing_zhiding_news', 'start_time': '1598923596', 'end_time': '1598923596'}  消息处理总量:1条
2020-09-01 at 09:26:53 | SUCCESS | 消息内容:{'end_time': '1598923604', 'start_time': '1598923593', 'spider_name': 'caijing_yuncaijing_neican', 'collection_name': 'sy_news_finance_yuncaijing_raw'}  消息处理总量:11条
2020-09-01 at 09:27:18 | SUCCESS | 消息内容:{'end_time': '1598923653', 'spider_name': 'caijing_sina_guonei', 'start_time': '1598923653', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:2条
2020-09-01 at 09:27:19 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cngrain_raw', 'spider_name': 'caijing_cngrain_all', 'start_time': '1598923644', 'end_time': '1598923645'}  消息处理总量:3条
2020-09-01 at 09:27:26 | SUCCESS | 消息内容:{'end_time': '1598923679', 'start_time': '1598923664', 'spider_name': 'hangye_bjx_yaowen', 'collection_name': 'sy_news_hangye_bjx_raw'}  消息处理总量:15条
2020-09-01 at 09:27:33 | SUCCESS | 消息内容:{'end_time': '1598923655', 'spider_name': 'caijing_mysteel_zonghe_all', 'collection_name': 'sy_news_finance_mysteel_raw', 'start_time': '1598923628'}  消息处理总量:4条
2020-09-01 at 09:27:36 | SUCCESS | 消息内容:{'end_time': '1598923681', 'start_time': '1598923681', 'spider_name': 'caijing_stockstar_kcb', 'collection_name': 'sy_news_finance_stockstar_raw'}  消息处理总量:1条
2020-09-01 at 09:27:40 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_stock_all', 'start_time': '1598923676', 'end_time': '1598923676'}  消息处理总量:1条
2020-09-01 at 09:28:03 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1598923705', 'spider_name': 'caijing_eastmoney_caijing', 'end_time': '1598923705'}  消息处理总量:1条
2020-09-01 at 09:28:23 | SUCCESS | 消息内容:{'end_time': '1598923719', 'start_time': '1598923676', 'spider_name': 'caijing_guandian_news_all', 'collection_name': 'sy_news_finance_guandian_raw'}  消息处理总量:2条
2020-09-01 at 09:28:26 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_xsb', 'start_time': '1598923725', 'end_time': '1598923730'}  消息处理总量:0条
2020-09-01 at 09:28:32 | SUCCESS | 消息内容:{'end_time': '1598923656', 'spider_name': 'caijing_eastmoney_jigou_all', 'start_time': '1598923652', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:2条
2020-09-01 at 09:28:47 | SUCCESS | 消息内容:{'end_time': '1598923737', 'spider_name': 'caijing_dcement_zixun', 'start_time': '1598923737', 'collection_name': 'sy_news_finance_dcement_raw'}  消息处理总量:1条
2020-09-01 at 09:28:57 | SUCCESS | 消息内容:{'end_time': '1598923725', 'start_time': '1598923704', 'spider_name': 'caijing_eastday_caijing', 'collection_name': 'sy_news_finance_eastday_raw'}  消息处理总量:8条
2020-09-01 at 09:28:57 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_china_raw', 'start_time': '1598923748', 'spider_name': 'caijing_china_kj', 'end_time': '1598923755'}  消息处理总量:2条
2020-09-01 at 09:29:05 | SUCCESS | 消息内容:{'end_time': '1598923761', 'spider_name': 'caijing_eastmoney_ccjxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1598923758'}  消息处理总量:5条
2020-09-01 at 09:29:33 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_qianlong_raw', 'start_time': '1598923755', 'spider_name': 'caijing_qianlong_jingji', 'end_time': '1598923757'}  消息处理总量:2条
2020-09-01 at 09:29:51 | SUCCESS | 消息内容:{'end_time': '1598923833', 'start_time': '1598923833', 'spider_name': 'hangye_smm_news', 'collection_name': 'sy_news_hangye_smm_raw'}  消息处理总量:1条
2020-09-01 at 09:29:54 | SUCCESS | 消息内容:{'end_time': '1598923807', 'spider_name': 'caijing_hexun_gsyw', 'start_time': '1598923803', 'collection_name': 'sy_news_finance_hexun_raw'}  消息处理总量:7条
2020-09-01 at 09:30:04 | SUCCESS | 消息内容:{'end_time': '1598923807', 'start_time': '1598923803', 'spider_name': 'caijing_cs_cjyw', 'collection_name': 'sy_news_finance_cs_raw'}  消息处理总量:5条
2020-09-01 at 09:30:11 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cnfol_raw', 'spider_name': 'caijing_cnfol_gegu', 'start_time': '1598923812', 'end_time': '1598923819'}  消息处理总量:12条
2020-09-01 at 09:30:25 | SUCCESS | 消息内容:{'end_time': '1598923833', 'start_time': '1598923833', 'spider_name': 'caijing_eastmoney_gsxw', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:1条
2020-09-01 at 09:30:28 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_ssgs', 'start_time': '1598923835', 'end_time': '1598923838'}  消息处理总量:5条
2020-09-01 at 09:30:41 | SUCCESS | 消息内容:{'end_time': '1598923844', 'spider_name': 'caijing_36kr_zixun', 'collection_name': 'sy_news_finance_36kr_raw', 'start_time': '1598923844'}  消息处理总量:1条
2020-09-01 at 09:31:05 | SUCCESS | 消息内容:{'end_time': '1598923854', 'start_time': '1598923854', 'spider_name': 'caijing_smm_yaowen', 'collection_name': 'sy_news_finance_smm_raw'}  消息处理总量:1条
2020-09-01 at 09:31:07 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1598923885', 'spider_name': 'caijing_eastmoney_ganggu', 'end_time': '1598923885'}  消息处理总量:2条
2020-09-01 at 09:31:30 | SUCCESS | 消息内容:{'end_time': '1598923935', 'spider_name': 'hangye_chinagas_news', 'collection_name': 'sy_news_hangye_chinagas_raw', 'start_time': '1598923935'}  消息处理总量:1条
2020-09-01 at 09:32:33 | SUCCESS | 消息内容:{'end_time': '1598923997', 'start_time': '1598923997', 'spider_name': 'hangye_brick_title_news', 'collection_name': 'sy_news_hangye_brick_tile_raw'}  消息处理总量:1条
2020-09-01 at 09:32:50 | SUCCESS | 消息内容:{'end_time': '1598923983', 'spider_name': 'caijing_huxiu_zixun', 'start_time': '1598923983', 'collection_name': 'sy_news_finance_huxiu_raw'}  消息处理总量:1条
2020-09-01 at 09:33:10 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_chanjing', 'start_time': '1598923963', 'end_time': '1598923966'}  消息处理总量:7条
2020-09-01 at 09:33:18 | SUCCESS | 消息内容:{'end_time': '1598924045', 'start_time': '1598924045', 'spider_name': 'hangye_dowater_news', 'collection_name': 'sy_news_hangye_dowater_raw'}  消息处理总量:0条
2020-09-01 at 09:33:20 | SUCCESS | 消息内容:{'end_time': '1598924034', 'spider_name': 'hangye_hqew_news', 'start_time': '1598924034', 'collection_name': 'sy_news_hangye_hqew_raw'}  消息处理总量:1条
2020-09-01 at 09:33:21 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1598924014', 'spider_name': 'caijing_eastmoney_hk_all', 'end_time': '1598924016'}  消息处理总量:2条
2020-09-01 at 09:34:21 | SUCCESS | 消息内容:{'end_time': '1598924084', 'start_time': '1598924084', 'spider_name': 'caijing_abi_zixun', 'collection_name': 'sy_news_finance_abi_raw'}  消息处理总量:1条
2020-09-01 at 09:34:24 | SUCCESS | 消息内容:{'end_time': '1598924053', 'collection_name': 'sy_news_finance_csi_raw', 'start_time': '1598924053', 'spider_name': 'caijing_csi_yeneizixun_all'}  消息处理总量:1条
2020-09-01 at 09:34:35 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_china_raw', 'spider_name': 'caijing_china_jijin', 'start_time': '1598924074', 'end_time': '1598924079'}  消息处理总量:9条
2020-09-01 at 09:35:10 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_southmoney_raw', 'spider_name': 'caijing_southmoney_caijingyaowen', 'start_time': '1598924115', 'end_time': '1598924115'}  消息处理总量:1条
2020-09-01 at 09:35:13 | SUCCESS | 消息内容:{'end_time': '1598924133', 'start_time': '1598924109', 'spider_name': 'caijing_yuncaijing_neican', 'collection_name': 'sy_news_finance_yuncaijing_raw'}  消息处理总量:5条
2020-09-01 at 09:35:18 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_lieyunwang_raw', 'spider_name': 'caijing_lieyunwang_zixun', 'start_time': '1598924116', 'end_time': '1598924116'}  消息处理总量:1条
2020-09-01 at 09:35:21 | SUCCESS | 消息内容:{'end_time': '1598924111', 'spider_name': 'caijing_leju_lejucaijing_all', 'start_time': '1598924061', 'collection_name': 'sy_news_finance_leju_raw'}  消息处理总量:6条
2020-09-01 at 09:35:30 | SUCCESS | 消息内容:{'end_time': '1598924075', 'start_time': '1598924075', 'spider_name': 'caijing_10jqka_zqzx', 'collection_name': 'sy_news_finance_10jqka_raw'}  消息处理总量:1条
2020-09-01 at 09:35:45 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_ss', 'start_time': '1598924165', 'end_time': '1598924167'}  消息处理总量:0条
2020-09-01 at 09:35:47 | SUCCESS | 消息内容:{'end_time': '1598924164', 'spider_name': 'caijing_gmw_jjyw', 'collection_name': 'sy_news_finance_gmw_raw', 'start_time': '1598924162'}  消息处理总量:5条
2020-09-01 at 09:35:56 | SUCCESS | 消息内容:{'end_time': '1598924173', 'start_time': '1598924172', 'spider_name': 'caijing_china_bank', 'collection_name': 'sy_news_finance_china_raw'}  消息处理总量:3条
2020-09-01 at 09:36:13 | SUCCESS | 消息内容:{'end_time': '1598924214', 'spider_name': 'hangye_ofweek_chanye', 'start_time': '1598924214', 'collection_name': 'sy_news_hangye_ofweek_raw'}  消息处理总量:1条
2020-09-01 at 09:36:21 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_caijing', 'start_time': '1598924195', 'end_time': '1598924197'}  消息处理总量:4条
2020-09-01 at 09:36:27 | SUCCESS | 消息内容:{'end_time': '1598924167', 'start_time': '1598924167', 'spider_name': 'caijing_cyzone_zuixin', 'collection_name': 'sy_news_finance_cyzone_raw'}  消息处理总量:1条
2020-09-01 at 09:36:43 | SUCCESS | 消息内容:{'end_time': '1598924222', 'spider_name': 'caijing_eccn_zxzx', 'start_time': '1598924222', 'collection_name': 'sy_news_finance_eccn_raw'}  消息处理总量:1条
2020-09-01 at 09:36:55 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_stock_all', 'start_time': '1598924226', 'end_time': '1598924228'}  消息处理总量:2条
2020-09-01 at 09:37:08 | SUCCESS | 消息内容:{'end_time': '1598924213', 'start_time': '1598924197', 'spider_name': 'caijing_eastday_caijing', 'collection_name': 'sy_news_finance_eastday_raw'}  消息处理总量:6条
2020-09-01 at 09:37:16 | SUCCESS | 消息内容:{'end_time': '1598924256', 'spider_name': 'caijing_cngrain_all', 'collection_name': 'sy_news_finance_cngrain_raw', 'start_time': '1598924256'}  消息处理总量:1条
2020-09-01 at 09:37:20 | SUCCESS | 消息内容:{'end_time': '1598924256', 'start_time': '1598924256', 'spider_name': 'caijing_askci_gcy', 'collection_name': 'sy_news_finance_askci_raw'}  消息处理总量:1条
2020-09-01 at 09:37:25 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1598924248', 'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1598924252'}  消息处理总量:7条
2020-09-01 at 09:37:30 | SUCCESS | 消息内容:{'end_time': '1598924225', 'spider_name': 'caijing_guandian_news_all', 'start_time': '1598924225', 'collection_name': 'sy_news_finance_guandian_raw'}  消息处理总量:1条
2020-09-01 at 09:38:06 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_hexun_raw', 'start_time': '1598924296', 'spider_name': 'caijing_hexun_gsyw', 'end_time': '1598924299'}  消息处理总量:4条
2020-09-01 at 09:38:16 | SUCCESS | 消息内容:{'end_time': '1598924296', 'start_time': '1598924295', 'spider_name': 'caijing_cs_cjyw', 'collection_name': 'sy_news_finance_cs_raw'}  消息处理总量:2条
2020-09-01 at 09:38:30 | SUCCESS | 消息内容:{'end_time': '1598924326', 'collection_name': 'sy_news_finance_sina_raw', 'start_time': '1598924325', 'spider_name': 'caijing_sina_ssgs'}  消息处理总量:3条
2020-09-01 at 09:38:49 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_jigou_all', 'start_time': '1598924258', 'end_time': '1598924271'}  消息处理总量:6条
2020-09-01 at 09:39:05 | SUCCESS | 消息内容:{'end_time': '1598924388', 'spider_name': 'hangye_autohome_news', 'start_time': '1598924388', 'collection_name': 'sy_news_hangye_autohome_raw'}  消息处理总量:1条
2020-09-01 at 09:39:15 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ganggu', 'start_time': '1598924374', 'end_time': '1598924376'}  消息处理总量:3条
2020-09-01 at 09:39:17 | SUCCESS | 消息内容:{'end_time': '1598924348', 'start_time': '1598924342', 'spider_name': 'caijing_pedaily_gundong', 'collection_name': 'sy_news_finance_pedaily_raw'}  消息处理总量:9条
2020-09-01 at 09:39:23 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_in_en_raw', 'spider_name': 'hangye_oil_news', 'start_time': '1598924386', 'end_time': '1598924411'}  消息处理总量:0条
2020-09-01 at 09:39:25 | SUCCESS | 消息内容:{'end_time': '1598924368', 'collection_name': 'sy_news_finance_qianlong_raw', 'start_time': '1598924363', 'spider_name': 'caijing_qianlong_jingji'}  消息处理总量:7条
2020-09-01 at 09:39:34 | SUCCESS | 消息内容:{'end_time': '1598924389', 'spider_name': 'caijing_eastmoney_gsxw', 'start_time': '1598924383', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:3条
2020-09-01 at 09:39:51 | SUCCESS | 消息内容:{'end_time': '1598924396', 'start_time': '1598924396', 'spider_name': 'caijing_jrj_chanjing', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:1条
2020-09-01 at 09:40:01 | SUCCESS | 消息内容:{'end_time': '1598924394', 'spider_name': 'caijing_stockstar_zqyw', 'collection_name': 'sy_news_finance_stockstar_raw', 'start_time': '1598924394'}  消息处理总量:1条
2020-09-01 at 09:40:12 | SUCCESS | 消息内容:{'end_time': '1598924433', 'start_time': '1598924433', 'spider_name': 'caijing_china_xiaofei', 'collection_name': 'sy_news_finance_china_raw'}  消息处理总量:1条
2020-09-01 at 09:40:12 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cnfol_raw', 'spider_name': 'caijing_cnfol_gegu', 'start_time': '1598924423', 'end_time': '1598924426'}  消息处理总量:6条
2020-09-01 at 09:40:36 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'start_time': '1598924453', 'spider_name': 'caijing_sina_chanjing', 'end_time': '1598924454'}  消息处理总量:3条
2020-09-01 at 09:41:06 | SUCCESS | 消息内容:{'end_time': '1598924487', 'collection_name': 'sy_news_finance_nbd_raw', 'start_time': '1598924487', 'spider_name': 'caijing_nbd_gongsi_all'}  消息处理总量:1条
2020-09-01 at 09:42:54 | SUCCESS | 消息内容:{'end_time': '1598924587', 'start_time': '1598924585', 'spider_name': 'caijing_thepaper_cjgs', 'collection_name': 'sy_news_finance_thepaper_raw'}  消息处理总量:3条
2020-09-01 at 09:43:01 | SUCCESS | 消息内容:{'end_time': '1598924605', 'spider_name': 'caijing_stockstar_gs', 'start_time': '1598924605', 'collection_name': 'sy_news_finance_stockstar_raw'}  消息处理总量:1条
2020-09-01 at 09:43:12 | SUCCESS | 消息内容:{'end_time': '1598924613', 'spider_name': 'caijing_youth_house', 'start_time': '1598924613', 'collection_name': 'sy_news_finance_youth_raw'}  消息处理总量:1条
2020-09-01 at 09:43:14 | SUCCESS | 消息内容:{'end_time': '1598924578', 'start_time': '1598924574', 'spider_name': 'caijing_yuncaijing_neican', 'collection_name': 'sy_news_finance_yuncaijing_raw'}  消息处理总量:5条
2020-09-01 at 09:43:29 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_mysteel_raw', 'start_time': '1598924523', 'spider_name': 'caijing_mysteel_zonghe_all', 'end_time': '1598924570'}  消息处理总量:7条
2020-09-01 at 09:43:36 | SUCCESS | 消息内容:{'end_time': '1598924633', 'start_time': '1598924633', 'spider_name': 'caijing_sina_guonei', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:1条
2020-09-01 at 09:43:39 | SUCCESS | 消息内容:{'end_time': '1598924616', 'spider_name': 'caijing_stcn_gs', 'start_time': '1598924614', 'collection_name': 'sy_news_finance_stcn_raw'}  消息处理总量:5条
2020-09-01 at 09:43:47 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_csi_raw', 'spider_name': 'caijing_csi_yeneizixun_all', 'start_time': '1598924604', 'end_time': '1598924604'}  消息处理总量:1条
2020-09-01 at 09:43:57 | SUCCESS | 消息内容:{'end_time': '1598924657', 'start_time': '1598924654', 'spider_name': 'caijing_gmw_jjyw', 'collection_name': 'sy_news_finance_gmw_raw'}  消息处理总量:5条
2020-09-01 at 09:44:13 | SUCCESS | 消息内容:{'end_time': '1598924581', 'spider_name': 'caijing_eastmoney_jijin', 'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1598924575'}  消息处理总量:3条
2020-09-01 at 09:44:30 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1598924685', 'spider_name': 'caijing_eastmoney_caijing', 'end_time': '1598924688'}  消息处理总量:4条
2020-09-01 at 09:45:04 | SUCCESS | 消息内容:{'end_time': '1598924723', 'collection_name': 'sy_news_finance_caijing_raw', 'start_time': '1598924723', 'spider_name': 'caijing_caijing_hongguan'}  消息处理总量:1条
2020-09-01 at 09:45:09 | SUCCESS | 消息内容:{'end_time': '1598924746', 'start_time': '1598924743', 'spider_name': 'hangye_people_news', 'collection_name': 'sy_news_hangye_people_raw'}  消息处理总量:6条
2020-09-01 at 09:45:10 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastday_raw', 'spider_name': 'caijing_eastday_caijing', 'start_time': '1598924682', 'end_time': '1598924704'}  消息处理总量:3条
2020-09-01 at 09:45:15 | SUCCESS | 消息内容:{'end_time': '1598924724', 'start_time': '1598924724', 'spider_name': 'caijing_southmoney_caijingyaowen', 'collection_name': 'sy_news_finance_southmoney_raw'}  消息处理总量:1条
2020-09-01 at 09:45:51 | SUCCESS | 消息内容:{'end_time': '1598924745', 'spider_name': 'caijing_eastmoney_ccjxw', 'start_time': '1598924736', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:8条
2020-09-01 at 09:46:07 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_china_raw', 'spider_name': 'caijing_china_bank', 'start_time': '1598924784', 'end_time': '1598924784'}  消息处理总量:1条
2020-09-01 at 09:46:10 | SUCCESS | 消息内容:{'end_time': '1598924793', 'start_time': '1598924793', 'spider_name': 'caijing_youth_djgj', 'collection_name': 'sy_news_finance_youth_raw'}  消息处理总量:1条
2020-09-01 at 09:46:18 | SUCCESS | 消息内容:{'end_time': '1598924802', 'spider_name': 'caijing_cnstock_stock_all', 'collection_name': 'sy_news_finance_cnstock_raw', 'start_time': '1598924801'}  消息处理总量:2条
2020-09-01 at 09:46:27 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1598924761', 'spider_name': 'caijing_eastmoney_stock_all', 'end_time': '1598924777'}  消息处理总量:4条
2020-09-01 at 09:46:32 | SUCCESS | 消息内容:{'end_time': '1598924775', 'start_time': '1598924775', 'spider_name': 'caijing_guandian_news_all', 'collection_name': 'sy_news_finance_guandian_raw'}  消息处理总量:1条
2020-09-01 at 09:46:50 | SUCCESS | 消息内容:{'end_time': '1598924834', 'spider_name': 'caijing_sohu_hs', 'collection_name': 'sy_news_finance_sohu_raw', 'start_time': '1598924834'}  消息处理总量:1条
2020-09-01 at 09:47:06 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eccn_raw', 'start_time': '1598924837', 'spider_name': 'caijing_eccn_zxzx', 'end_time': '1598924843'}  消息处理总量:2条
2020-09-01 at 09:47:12 | SUCCESS | 消息内容:{'end_time': '1598924834', 'spider_name': 'caijing_36kr_zixun', 'start_time': '1598924833', 'collection_name': 'sy_news_finance_36kr_raw'}  消息处理总量:2条
2020-09-01 at 09:47:19 | SUCCESS | 消息内容:{'end_time': '1598924833', 'start_time': '1598924770', 'spider_name': 'caijing_winshang_yaowen_all', 'collection_name': 'sy_news_finance_winshang_raw'}  消息处理总量:6条
2020-09-01 at 09:47:21 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ganggu', 'start_time': '1598924865', 'end_time': '1598924865'}  消息处理总量:1条
2020-09-01 at 09:47:48 | SUCCESS | 消息内容:{'end_time': '1598924838', 'start_time': '1598924834', 'spider_name': 'caijing_smm_yaowen', 'collection_name': 'sy_news_finance_smm_raw'}  消息处理总量:3条
2020-09-01 at 09:48:31 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_bjx_raw', 'start_time': '1598924934', 'spider_name': 'caijing_bjx_yaowen', 'end_time': '1598924934'}  消息处理总量:1条
2020-09-01 at 09:48:34 | SUCCESS | 消息内容:{'end_time': '1598924909', 'spider_name': 'caijing_huxiu_zixun', 'start_time': '1598924894', 'collection_name': 'sy_news_finance_huxiu_raw'}  消息处理总量:6条
2020-09-01 at 09:48:50 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_jigou_all', 'start_time': '1598924863', 'end_time': '1598924863'}  消息处理总量:1条
2020-09-01 at 09:48:58 | SUCCESS | 消息内容:{'end_time': '1598924945', 'spider_name': 'caijing_eastmoney_gsxw', 'start_time': '1598924933', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:5条
2020-09-01 at 09:49:03 | SUCCESS | 消息内容:{'end_time': '1598924948', 'spider_name': 'caijing_dcement_zixun', 'start_time': '1598924948', 'collection_name': 'sy_news_finance_dcement_raw'}  消息处理总量:1条
2020-09-01 at 09:49:09 | SUCCESS | 消息内容:{'end_time': '1598924943', 'spider_name': 'caijing_iyiou_kuaixun', 'start_time': '1598924943', 'collection_name': 'sy_news_finance_iyiou_raw'}  消息处理总量:1条
2020-09-01 at 09:49:10 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_hexun_raw', 'start_time': '1598924963', 'spider_name': 'caijing_hexun_hongguan', 'end_time': '1598924963'}  消息处理总量:1条
